"nombre","direccion","contacto","latitud","longitud"
"Registro Civil de Mexicali, Dirección General","Edificio del Poder Ejecutivo Primer Piso, Centro Cívico y Comercial, C.P. 21000, Mexicali, B.C.","01 686 558 10 00 ext. 1700","32.6402469","-115.474301"
"Registro Civil de Ensenada Oficialia 01","Calle Reforma n° 1122, Col. Carlos Pacheco, C.P. 22890, Ensenada B.C.","01 646 152 10 88","31.8703648","-116.608604"
"Registro Civil de La Mesa Oficialía 02","Av. Los Charros y Allende s/n, Fraccionamiento Moreno, C.P. 22450, Tijuana, B.C.","01 664 622 44 26","32.5319117","-116.9396154"
"Registro Civil de Mexicali Oficialía 01","Independencia n° 998, Centro Cívico, C.P.21000, Mexicali, B.C.","01 686 558 16 00 ext. 1740","32.6399441","-115.4749641"
"Registro Civil de Mexicali Oficialía 03","Calle 4ª. y Carretera a San Luis s/n, Col. González Ortega, C.P. 21397, Mexicali, B.C.","01 686 561 94 25","32.5967034","-115.3978272"
"Registro Civil de Mexicali Oficialía 05","Av. Guerrero y Calle Novena, Mexicali, B.C.","01 658 516 40 06","32.2888534","-115.1031078"
"Registro Civil de Mexicali Oficialía 06","Av. Mar Blanco n° 773, Col. San Felipe, C.P. 21850, Mexicali, B.C.","01 686 577 16 50","31.0196973","-114.8400077"
"Registro Civil de Playas de Tijuana Oficialía 04","Paseo Pedregal y Av. Del Agua, Sección Jardines, Fraccionamiento Playas de Tijuana, C.P. 22000, Tijuana, B.C.","01 664 631 08 34","32.5320936","-117.0352732"
"Registro Civil de Vicente Guerrero Oficialía 02","Calle Rosario Meza n° 107, Col. Vicente Guerrero, C.P. 22920, Ensenada, B.C.","01 616 166 21 41","30.7325664","-115.9887374"
"Registro Civil de Zona Centro Oficialía 07","Av. Paseo del Río n° 16, 3ra. Etapa del Río Tijuana, C.P. 22320, Tijuana, B.C.","01 664 627 00 46","32.5352474","-117.0213274"
"Registro Civil de Tijuana Oficialía 01","Av. Independencia esq. Paseo Centenario n° 1350, Zona Urbana Río P. Municipal C.P. 22320 Tijuana, B.C.","01 664 973 70 82 y 70 83","32.5345275","-117.019088"
"Registro Civil de Tijuana Oficialía 03","Av. Aranjuez s/n Fraccionamiento Villa Fontana, Tijuana, B.C.","01 664 627 87 15","32.4717064","-116.9122359"
"Registro Civil Tijuana Oficialía 04","Av. Miraflores n° 8351, esq. Cabo San Lucas, Col. San Antonio de los Buenos, C.P. 22180, Tijuana, B.C.","01 664 635 61 61","32.4782348","-116.9535988"
"Registro Civil de Tijuana Oficialía 05","Av. Miraflores n° 8351, esq. Cabo San Lucas, Col. San Antonio de los Buenos, C.P. 22180, Tijuana, B.C.","01 664 635 61 61","32.4782348","-116.9535988"
"Registro Civil de Tijuana Oficialía 06","Calzada Tecnológico s/n, Col. Altabrisa, C.P. 22414, Tijuana, B.C.","01 664 647 42 35","32.5262896","-116.9867139"
"Registro Civil de Tijuana Oficialía 07","Calle 5ª n° 7727, Zona Centro, C. P. 22000, Tijuana B. C.","01 664 622 53 08","32.5312954","-117.0427982"
"Registro Civil de Ensenada Oficialía 01","Calle Reforma n° 1122, Col. Carlos Pacheco, C.P. 22890, Ensenada, B.C.","01 646 152 10 88","31.8703648","-116.608604"
"Sistema Educativo Estatal","Av. Vicente Guerrero n° 137, Bahia, C.P. 22880, Ensenada, B.C.","01 646 172 43 64","31.8600227","-116.6034061"
"Sistema Educativo Estatal","Industria n° 291, Col. Industrial, C.P. 21010, Mexicali, B.C.","01 686 559 86 00","32.6570598","-115.474466"
"INEGI Mexicali","Av. Pioneros n° 1005 2do. Piso, Palacio Federal, Col. Centro Cívico y Comercial, C.P. 21000, Mexicali, B.C.","01 686 557 39 14, Ext. 7601 y 7610","32.6402469","-115.474301"
"Instituto Nacional de Migración Delegación Regional Baja California","Puente Puerta México s/n,Col. Federal, Tijuana B.C.","01 682 98 62 y 682 49 52","32.5381879","-117.0306557"
