"nombre","direccion","contacto","latitud","longitud"
"Dirección General del Registro Civil","2da. Sur Esq. Calle Central, Col. Centro, C.P. 29000, Tuxtla Gutiérrez, Chis.","01 961 614 85 80","16.7167712","-93.1829868"
"Registro Civil de Palenque","Francisco Javier Mina s/n, Col. Centro, C.P. 29960, Palenque, Chis.","01 934 345 44 48","17.5100683","-91.9791149"
"Registro Civil de Tuxtla Gutiérrez","Centro Comercial Soriana, Col. Plaza Poliforum, C.P. 29000, Tuxtla Gutiérrez, Chis.","01 961 60 437 09","16.7167712","-93.1829868"
"Municipio de Acapetahua","Av. Central Norte No. 2, Col. Centro, C.P. 30580, Acapetahua, Chis.","01 918 647 00 00","15.2812602","-92.69096139999999"
"Municipio de Ángel A. Corzo","1ª. Poniente Sur s/n, Col. Centro C.P. 30370, Ángel A. Corzo, Chis.","01 992 655 01 84","17.2197","-93.627797"
"Municipio de Bellavista","Palacio Municipal s/n, Col. Centro, C.P. 30130, Bellavista, Chis.","01 200 123 84 68 y 67","16.7394011","-93.1596126"
"Municipio de Benemérito de las Américas","Calle Central s/n, Col. Sector 1, C.P. 92955, Benemérito de las Américas, Chis.","01 200 123 9446","16.5142764","-90.65409540000002"
"Municipio de Cacahotán","Central Sur y 6ª Poniente s/n, Col. Centro, C.P. 30890, Cacahotán, Chis.","01 962 622 01 60 / ext. 103","0","0"
"Municipio de Chenalhó","Hidalgo s/n, Col. Centro, C.P. 29870, Chenalhó, Chis.","01 919 673 70 35","0","0"
"Municipio de Chicomuselo","1ra.Av. Sur Poniente s/n esq. 3ª. Calle Poniente Sur, Col. Centro, C.P. 30120, Chicomuselo, Chis.","01 963 631 23 34","15.7407898","-92.2876645"
"Municipio de Cintalapa","1ra. Norte Oriente No. 5, Col. Centro, C.P. 30400, Cintalapa, Chis.","01 968 684 20 10","16.6859535","-93.72855849999999"
"Municipio de El Bosque","Palacio Municipal s/n Av. Central Hidalgo esq. Calle Juárez, Col. Centro, C.P. 29840, El Bosque, Chis.","01 919 10 19 130","17.062481","-92.72100069999999"
"Municipio de Escuintla","Calle Zaragoza Oriente No. 05, Col. Centro, C.P. 30600, Escuintla, Chis.","01 918 644 00 00","15.3232503","-92.65861629999999"
"Municipio de El Porvenir","Calle Central s/n, Palacio Municipal, Col. Centro, C.P. 30970, El Porvenir, Chis.","01 962 622 74 92","17.1813742","-93.39244099999999"
"Municipio de Francisco León","Domicilio Conocido, Col. San José Maspac, C.P. 29560, Francisco León, Chis.","01 555 150 53 68","17.315983","-93.25707899999999"
"Municipio de Huehuetán","Palacio Municipal s/n, Col. Centro, C.P. 30660, Huehuetán, Chis.","01 964 627 00 47","15.019419","-92.38084649999999"
"Municipio de Huitiupán","Av. Central esq. Calle Central, Col. Centro, C.P. 29710, Huitiupán, Chis.0.0..","01 919 673 90 17","17.1705587","-92.6853429"
"Municipio de Huixtla","Av. Central Nte y Calle Fco. I. Madero No. 1, Col. Centro, C.P. 30640, Huixtla, Chis.","01 964 642 12 52 ext. 104","15.1380063","-92.46612739999999"
"Municipio de La Concordia","Av. Central Oriente s/n, Col. Centro, C.P. 30360, La Concordia, Chis.","01 961 165 57 38","16.1151133","-92.6899388"
"Municipio de La Grandeza","1ª Av. Sur s/n entre Central y 1ª Poniente, Col. Centro, C.P. 30960, La Grandeza, Chis.","01 200 123 86 11 y 13","15.5112297","-92.2260293"
"Municipio de La Independencia","5ª. Av. Poniente Sur No. 5, Col. Barrio 16 de Septiembre, C.P. 30170, La Independencia, Chis.","01 963 101 00 31 y 32","16.2517269","-92.02170609999999"
"Municipio de Larrainzar","Calle Constitución s/n, Zona Centro de la cabecera municipal, C.P. 29860, Larrainzar, Chis.","01 967 110 01 10","16.8820217","-92.71204159999999"
"Municipio de Las Margaritas","1ª. Calle Sur Poniente No. 85, Col. Barrio Sacsalum, C.P. 30180, Las Margaritas, Chis.","01 963 105 15 01","16.315474","-91.98795299999999"
"Municipio de Las Margaritas","Unidad Administrativa Nuevo Momon, Col. Nuevo Momon, C.P. 30180, Las Margaritas, Chis.","01 963 634 42 81","16.315474","-91.98795299999999"
"Municipio de Las Rosas","Av. Central esquina con Calle Central No. 1, Col. Centro, C.P. 30350, Las Rosas, Chis.","01 992 672 02 17","16.3607767","-92.36729059999999"
"Municipio de La Trinitaria","Presidencia Municipal Calle Central s/n, Col. Centro, C.P. 30160, La Trinitaria, Chis.","01 963 636 2022","16.1307345","-92.0420152"
"Municipio de Mapastepec","3ª. Av. Norte y 1º Oriente s/n, Col. Centro, C.P. 30560, Mapastepec, Chis.","01 918 643 01 32","15.4329682","-92.8978399"
"Municipio de Maravilla Tenejapa","Calle Hidalgo s/n, Col. Maravilla Tenejapa, C.P. 30180, Maravilla Tenejapa, Chis.","01 200 123 87 13, 14 y 15","16.1409664","-91.2927151"
"Municipio de Mazapa de Madero","Av. Palacio Municipal s/n, Col. Centro, C.P. 30920, Mazapa de Madero, Chis.","01 962 622 30 05 y 06","15.387171","-92.187527"
"Municipio de Mazatán","Av. Central Juárez s/n, Col. Centro, C.P. 30650, Mazatán, Chis.","01 694 698 40 00","14.8645935","-92.4480536"
"Municipio de Ocosingo","Presidencia Municipal Calle Central s/n, Col. Centro, C.P. 29950, Ocosingo, Chis.","01 919 670 45 21","16.9045561","-92.09349019999999"
"Municipio de Ocozocoautla","Palacio Municipal s/n, Col. Centro, C.P. 29140, Ocozocoautla, Chis.","01 968 688 06 76 y 688 29 57, 58 y 59 ext. 117","16.7608719","-93.3741647"
"Municipio de Pueblo Nuevo Solistahuacán","Calle Nte. Ote. No. 201, Col..Guadalupe, C.P. 29750, Pueblo Nuevo Solistahuacán, Chis.","01 919 685 20 44","17.1578347","-92.8996804"
"Municipio de San Cristóbal de las Casas","Palacio Municipal s/n, Col. Centro, C.P. 29000, San Cristóbal de las Casas, Chis.","01 967 678 04 14","16.7370359","-92.6376186"
"Municipio de Socoltenango","6ª Av. Miguel Hidalgo s/n entre 8ª calle Álvaro Obregón y 9ª calle El Porvenir Zona Norte, Col. Centro, C.P. 30390, Socoltenango, Chis.","01 992 661 11 07","16.2246489","-92.2516375"
"Municipio de Tapachula","8ª Av. Norte Esq. 3ª. Calle Poniente, Antiguo Palacio Municipal, Col. Centro, C.P. 30700, Tapachula, Chis.","01 962 620 03 65","14.9343995","-92.2550389"
"Municipio de Tonala","Av. Hidalgo esq. 16 de Septiembre, Palacio Municpal 2do. Piso, Col. Centro, C.P. 3500, Tonala,Chis.","01 966 663 01 01","16.0869461","-93.7612856"
"Municipio de Tuxtla el Chico","Presidencia Municipal, Col. Barrio Sacsalum, C.P. 30870, Tuxtla el Chico, Chis.","01 962 623 00 09","17.2241936","-92.4122257"
"Municipio de Tuzantán","Av. Ayuntamiento s/n, Col Centro, C.P. 30680, Tuzantán, Chis.","01 964 620 01 16","15.1449989","-92.45222509999999"
"Municipio de Tzimol","Av. Central No. 3, Col. Barrio de Santo Domingo, C.P. 30110, Tzimol, Chis.","01 963 631 60 13 y 14","16.1822673","-92.1845482"
"Municipio de Villa Comaltitlán","Palacio Municipal s/n, Col. Centro, C.P. 30620, Villa Comaltitlán, Chis.","01 918 646 00 44","15.2127239","-92.57623459999999"
"SEDESOL, Modalidad Identidad Jurídica en Comitán","2ª. Ave. Ote. Nte. No 24, Col. Barrio de la Pila, C.P. 30018, Comitán, Chis.","01 963 632 18 09","16.2555103","-92.1333628"
"SEDESOL, Modalidad Identidad Jurídica en Ocozocuautla","3er Poniente Norte No. 71, Col. Centro, C.P. 29140, Ocozocuautla, Chis.","01 961 108 45 84","16.754987","-93.364779"
"SEDESOL, Modalidad Identidad Jurídica en San Cristóbal","Vesalio No. 205, Col. Doctores, C.P. 29249, San Cristóbal de las Casas, Chis.","01 733 678 14 73","16.7416147","-92.6459159"
"SEDESOL, Modalidad Identidad Jurídica en Tuxtla Gutiérrez","12ª. Oriente Sur No. 636, Col. Barrio Santa Cruz, C.P. 29000, Tuxtla Gutiérrez, Chis.","01 961 612 71 06","16.7319041","-93.1064263"
"SEDESOL, Modalidad Identidad Jurídica en Tuxtla Gutiérrez","Edificio Plaza San Marcos 3er Piso, Col. Centro, C.P. 29000, Tuxtla Gutiérrez, Chis.","01 961 613 88 76","16.7167712","-93.1829868"
"SEDESOL, Modalidad Identidad Jurídica en Tuxtla Gutiérrez","Quebracho No. 15, Col. Fovissste No. 2, Tuxtla Gutiérrez, Chis.","01 961 615 32 66","16.7607182","-93.1617741"
"SEDESOL, Modalidad Identidad Jurídica en Yajalón","1ª. Av. Norte No. 78, Col. Jonuta, Yajalón, Chis.","01 919 674 05 50","17.1694078","-92.3283699"
