"nombre","direccion","contacto","latitud","longitud"
"Oficialía 01 del registro civil cd juarez","H. Colegio Militar y Av Francisco Villa, Chamizal, Juárez, Chihuhua","52 656 615 2019","31.748565","-106.4752347"
"Oficialía 02 del registro civil de cd juarez","Blvd. Gomez Morin 1325, Juárez, Chihuhua","52 656 615 2019","31.6719293","-106.367669"
"Oficialía 04 del registro civil ciudad juarez","Codorniz y Ave. De los Aztecas s/n Col. Azteca, Juárez, Chihuhua","(656) 610-01-42","0","0"
"Oficialía 05 del registro civil Ciudad Juárez","Eje Vial Juan Gabriel y Aserraderos s/n, Juárez, Chihuhua","(656) 629-33-00 ext. 55704","31.7105881","-106.4588672"
"Oficialía 06 del registro civil Ciudad Juárez","Calle Almendro 10150, Col. Los Mezquitales, Juárez, Chihuhua","(656) 629-33-00 ext. 55704","0","0"
"Oficialía 01, Dirección General del registro civil chihuahua","Libertad y calle 13, Col. Centro, Chihuahua, Chihuhua (C.P. 31000)","(614) 429 3300 / 4801 y 4809","28.6380217","-106.075344"
"Registro Civil de Jiménez","Zaragoza 116, Col. Centro (CP 33981), Jiménez, Chihuhua","01-629-542-30-31","41.6488226","-0.8890853"
"Registro Civil Cuauhtémoc","Morelos y calle 23 (CP 31530), Cuauhtémoc, Chihuhua","01-635-581-93-22 / 74-63","28.4202664","-106.8484096"
"Registro Civil Camargo","Hidalgo y Allende 2-A, Col. Centro (CP 37000), Camargo, Chihuhua","01648 462 43 31","0","0"
"Registro Civil Delicias","Av. 6ta y Calle 1era. Ote, Col. Centro, (CP 33060), Delicias, Chihuhua","01-639-474-30-08","0","0"
"Registro Civil de Hidalgo del Parral","Mutualismo y Gral. Negrete, Col. Centro (CP 33800), Hidalgo del Parral, Chihuhua","01 627 523 93 22 / 72 04","0","0"
"Registro Civil Cuauhtémoc","Morelos y calle 23 (CP 31530), Cuauhtémoc, Chihuhua","01-635-581-93-22 / 74-63","28.4202664","-106.8484096"
