"nombre","direccion","contacto","latitud","longitud"
"Dirección General del Registro Civil de Durango","Sauca 721, Jardines de Durango","(618) 137-96-76","22.2519926","-97.86890670000001"
"Oficialia 24 del registro civil de Durango","Mercurio N° 105, Fidel Velaz, Durango","618-8-14-27-40","24.059667","-104.6073096"
"Oficialia 25 del registro civil de Durango","Cuauhtemoc 683, Zona sur, Durango","8-13-58-10","24.029602","-104.6565117"
"Oficialia 26 del registro civil de Durango","Hidalgo 820, Durango","618-8-11-37-60","24.0376357","-104.6770789"
"Oficialia 01 del registro civil de Durango","Domicilio conocido, Abraham Glez","5-96-18-20","0","0"
"Oficialia 03 del registro civil durango","Domicilio conocido, Aquiles Serdan","8-00-22-68","0","0"
"Oficialia 04 del registro civil de Durango","Domicilio conocido, el Arenal","8-76-50-11","0","0"
"Oficialia 05 del registro civil de Durango","Domicilio conocido, Contreras","8-24-90-76","0","0"
"Oficialia 07 del registro civil de Durango","Batallon de puebla (s/n), Col. 5 de Mayo","5-96-18-20","0","0"
"Oficialia 08 del registro civil en Durango","Domicilio conocido, Ignacio Zaragoza","01-200-124-60-18","41.6488226","-0.8890853"
"Oficialia 10 del registro civil de Durango","Melchor Ocampo (s/n), Llano Grande","8-76-16-16","0","0"
"Oficialia 12 del registro civil de Durango","Domicilio conocido, Otinapa","044-618-1-69-39-16","0","0"
"Oficialia 13 del registro civil de Durango","Domicilio conocido, Parras de la Fuente","","25.4492883","-102.1747077"
"Oficialia 14 del registro civil de Durango","Domicilio conocido, Pilar de Zaragoza","5-96-05-12","41.6488226","-0.8890853"
"Oficialia 15 del registro civil de durango","Domicilio conocido, el San Benito","","0","0"
"Oficialia 16 del registro civil de Durango","Domicilio conocido, Refugio Salcido","8-26-71-34","0","0"
"Oficialia 18 del registro civil de Durango","Domicilio conocido","5-96-18-20","24.7982203","-107.3314773"
"Oficialia 19 del registro civil de Durango","Domicilio conocido","","24.7982203","-107.3314773"
"Oficialia 20 del registro civil de Durango","Domicilio conocido","8-76-30-11","24.7982203","-107.3314773"
"Oficialia 21 del registro civil de Durango","Barreda 500, esquina Victoria","(618) 811-7786","0","0"
"Oficialia 24 del registro civil de Durango","Domicilio conocido","5-96-18-20","24.7982203","-107.3314773"
"Oficialia 25 del registro civil de Durango","Domicilio conocido","5-96-18-20","24.7982203","-107.3314773"
"Oficialia 01 del registro civil de Gomez Palacio","Calzada Forjadores 503, Gómez Palacio","871-1-75-20-11 y 1-75-20-10","0","0"
"Oficialia 10 del registro civil gomez palacio","C. Victoria 528, Gómez Palacio","045-87-11-994-05","25.5702499","-103.4991673"
"Oficialia 01 del registro civil de Lerdo","Allende 174, Lerdo","(871) 725-13-61","25.4946693","-103.5919112"
"Oficialia 04 del registro civil de Lerdo","Gómez Palacio 314, Lerdo","045-87-12-69-09-83","25.5349618","-103.540078"
"Oficialia 01 del registro civil de Pueblo Nuevo","Domicilio conocido, El salto","(675) 87-6-17-35","0","0"
