"nombre","direccion","contacto","latitud","longitud"
"Oficialía 01 del registro civil de Toluca","P. González 309, Col. La Merced Alameda, Toluca","01 722 2 13 37 00","19.2867068","-99.663851"
"Oficialía 02 del registro civil de Toluca","Laguna de las flores 607, COl. Nueva Oxtotitlán, Toluca","01 722 2 78 16 94","19.2795464","-99.6851301"
"Oficialía 03 del registro civil de Toluca","Paseo Colón 600, Col. Villa Hogar (edificio anexo al Diforama), Toluca","01 722 2 12 05 96","19.2665408","-99.66126829999999"
"Oficialía 04 del registro civil Toluca","Tenango, esquina El Oro, Santiago Miltepec, Toluca","01 722 2 37 09 40","19.3054658","-99.6535201"
"Oficialía 01 del registro civil de Ecatepec","Carranza (S/N), Plaza Catedral, Zona Centro, Ecatepec de Morelos","01 55 57 87 84 22","19.6408958","-99.0681017"
"Oficialía 02 del registro civil de Ecatepec","Av. Del Mazo (S/N), Esquina B. Juárez, Col. Granjas Valle de Guadalupe, Ecatepec de Morelos","01 55 57 74 27 95","19.5142001","-99.0577876"
"Oficialía 03 del registro civil de Ecatepec","Av. Casanueva 2, Col. Jardines de Casa nueva (S/N), Plaza Catedral, Zona Centro, Ecatepec de Morelos","57 78 27 79","19.6408958","-99.0681017"
"Oficialía 08 del registro civil Ecatepec","Av. De las Bombas 12, Santa Cruz, Fracc. Venta de Caprio, Ecatepec de Morelos","01 55 58 39 53 24","19.601841","-99.05067439999999"
"Oficialía 09 del registro civil de Ecatepec","Avenida Central 50, Manzana 44, LT 10 Altos, segundo piso, Col. Fuentes de Aragón, Ecatepec de Morelos","01 55 57 74 86 20","19.5166635","-99.0308525"
"Oficialía 10 del registro civil de Ecatepec","Sócrates Nte. 1, Del. San Pedro Xalostoc, Ecatepec de Morelos","01 55 58 29 38 74 y 58 29 74 67","19.5378854","-99.0778438"
"Oficialía 12 del registro civil Ecatepec","Valle del Don (S/N), P.A. Edificio del Dif., Col. Unidad obrera, Habitacional CTM XIV Ecatepec de Morelos","01 55 57 10 63 19","19.601841","-99.05067439999999"
"Oficialía 13 del registro civil de Ecatepec","Bonaga (S/N), esquina Av. Nacional, plaza Diamante, local 11, Col. Guadalupe Victoria, Ecatepec de Morelos","01 55 26 22 58 72","19.6237901","-99.0695492"
"Oficialía 01 del registro civil de Coacalco","Bartolomé Flores (S/N), San Francisco, Coacalao de Berriozabal","01 55 58 98 99 93 y 15 42 07 01 (Ext. 9058 Y 0155)","0","0"
"Oficialía 03 del registro civil Coacalco","Miguel Flores (S/N), Centro de servicios San Rafael, Col. San Rafael, Coacalao de Berriozabal","01 55 58 91 00 92","0","0"
"Oficialía 04 del registro civil de Coacalco","Plaza Ignacio Zaragoza, Blvd. Coacalco, Fracc. Villa de las Flores, Coacalao de Berriozabal","","41.6529476","-0.8739247"
"Oficialía 01 del registro civil de Tultitlan","Plaza Hidalgo 1, Col. Centro, Tultitlán","01 55 58 88 33 36","19.6465113","-99.1691522"
"Oficialía 01 del registro civil Tlalnepantla","Viveros de Asís 175, esquina Viveros de Atizapán, Col. Viveros de la Loma, Tlalnepantla de Baz","01 55 53 61 19 13","19.5191926","-99.2190028"
"Oficialía 01 del registro civil tlalnepantla","Avenida Juan I. De la Cruz 45, Industrial San Nicolás, Tlalnepantla de Baz","01 55 53 90 66 42, 55 65 74 75 EXT. 405 Y 406","19.5389493","-99.20426669999999"
"Oficialía 02 del registro civil tlalnepantla","Hidalgo (S/N), Col. La Romana, Tlalnepantla de Baz","01 55 53 21 31 03, 53 21 31 46","19.5111754","-99.2151404"
"Oficialía 03 del registro civil Tlalnepantla","San José 18 y 19, San Juan Ixhuatepec, Tlalnepantla de Baz","01 55 57 46 18 21","19.5265753","-99.10411429999999"
"Oficialía 04 del registro civil Tlalnepantla","Viveros de Asís 175, Esquina Viveros de Atizapán, Tlalnepantla de Baz","01 55 53 61 19 13","19.5191926","-99.2190028"
"Oficialía 05 del registro civil tlalnepantla","Motolinia esquina, Coyotes 984, Col. Lázaro Cardenas, Tlalnepantla de Baz","01 55 57 18 69 19","19.5357029","-99.12095140000001"
"Oficialía 01 del registro civil de Tultitlán","Hidalgo 1, Col. Centro, Tultitlán","01 55 58 88 33 36","19.6465113","-99.1691522"
"Oficialía 02 del registro civil Tultitlán","Avenida Prado Centro, entre Saldado y Zodiaco, Unidad Morelos, tercera sección, Tultitlán","01 55 58 83 17 62","0","0"
"Oficialía 01 del registro civil de Nezahualcóyotl","Av. Sor Juana Inés de la Cruz 49, Col. Metropolitana, tercera sección, Nezahualcóyotl","01 55 57 97 47 15, 57 97 65 41","19.4017498","-99.0166605"
"Oficialía 02 del registro civil de Nezahualcóyotl","Ceballo Bayo 121, Colonia Benito Juárez, Nezahualcóyotl","01 55 15 58 11 74, 51 12 69 19","0","0"
"Oficialía 03 del registro civil Nezahualcóyotl","Avenida Central (S/N), esquina Av. 6, Col. Campestre Guadalupana, Zona Norte, Nezahualcóyotl","01 55 57 12 52 19","0","0"
"Oficialía 04 del registro civil de Nezahualcóyotl","Avenida Cuauthemoc, esquina cuarta, Col. Estado de México, Nezahualcóyotl","01 55 51 12 66 86","19.4245855","-99.04773340000001"
"Oficialía 05 del registro civil de Nezahualcóyotl","Avenida Carmelo Pérez 627, Col. Benito Juárez, Nezahualcóyotl","01 55 51 12 69 19","19.4008627","-98.996336"
"Oficialía 01 del registro civil La Paz","Palacio Municipal, Primer Piso, Plaza General Castañeda, Cd. Los Reyes, Acaquilpán, La Paz","01 55 58 55 11 13, 58 56 65 59 EXT. 139","-16.489689","-68.11929359999999"
"Oficialía 02 del registro civil La Paz","Floresta, esquina Río Ameca, Fracc. Florestán, La Paz","01 55 58 58 39 72","-16.489689","-68.11929359999999"
"Oficialía 04 del registro civil La Paz","Jaltenco (S/N), Col. Emiliano Zapata, La Paz","01 55 58 57 36 98","-16.5044006","-68.128394"
"Oficialía 01 del registro civil Chimalhuacán","Plaza Zaragoza (S/N), Cabecera municipal, Chimalhuacán","01 55 50 44 22 71","0","0"
"Oficialía 01 del registro civil Texcoco","16 de septiembre 107, Col. Centro, Texcoco","01 595 95 2 00 00","19.513891","-98.8808019"
