"nombre","direccion","contacto","latitud","longitud"
"Oficialía 01 del registro civil guanajuato","J. Valle 20, Altos Zona Centro (CP 36000), Guanajuato","(473) 73-2-01-90","21.0180256","-101.2552888"
"Oficialia 01 de registro civil leon gto","Juárez 204, 2° Piso, Centro (CP 37000), León, Gto","(477) 7 14 30 84","21.1206547","-101.6811013"
"Oficialía 08 de Valle del Sol de la ciudad de León","Crepúsculo y Amanecer 101, Valle del Sol (CP 37000), León, Gto","(477) 77 4 08 94","21.1211701","-101.6826359"
"Oficialía 09 del barrio del Coecillo, registro civil en leon gto","Blvd. F. Villa 1313, despacho 10, Col. Jardines de oriente (CP 37260), León, Gto","(477) 772-28-82 y (477) 772-02-01","21.1264631","-101.6698299"
"Oficialía 10 del barrio de San Miguel, León","M. Luisa 109, Fraccionamiento Loma Bonita (CP 37390), León, Gto","(477) 7-70-45-68","21.0983815","-101.6777373"
"Oficialía 11 de Colonia España, León","Blvd. San Juan Bosco 1002, San Juan Bosco (CP 37330), León, Gto","(477) 7-62-42-86","18.4775485","-69.901253"
"Oficialía 12 de San José El Alto, León","Eta número 315 Industrial Delta (CP 37660), León, Gto","(477) 7-61-06-13","21.1980896","-101.6740984"
"Oficialía 14, IMSS T-48, del registro civil guanajuato, León","Av. Insurgentes (S/N), esquina con Av. México (dentro de las Instalaciones de la Clínica) (CP 37000), León, Gto","(477) 7-79-78-23","21.1211701","-101.6826359"
"Oficialía 15, Sala de Matrimonios, del registro civil leon gto","Blvd. V. Valtierra 1705, Fraccionamiento La Carmona (CP 37260), León, Gto","(477) 71-6-15-85","21.1314482","-101.6661145"
"Oficialía 16, Hospital Materno Infantil, del registro civil leon guanajuato","Av. de la Juventud número 116 Jol-Gua-Ber (CP 37000), León, Gto","(477) 7-76-71-26","21.1211701","-101.6826359"
"Oficialía 17, Hospital Regional, del registro civil de leon gto","20 de Enero 927 Obregón (CP 37000), León, Gto","(477) 7-16-21-51","21.1241846","-101.6834217"
"Oficialía 01, Moroleón","Av. Hidalgo 15, Moroleón (CP 38800), Moroleón, Gto","","20.1319392","-101.1894343"
"Oficialia 01 de Irapuato","Boulevard Diaz Ordaz (S/N), Los Eucaliptos (CP 36500), Irapuato, Gto","(462) 62-4-17-52","20.6886826","-101.3506423"
"Oficialia 03 de Miguel Hidalgo, del registro civil irapuato","6 de Noviembre 166, San Miguelito, Los Eucaliptos (CP 36550), Irapuato, Gto","(462) 62-6-11-11","20.6656842","-101.3670026"
"Oficialía 07, Hgz-2 IMSS, registro civil de irapuato guanajuato","Av. Reforma 307, Fraccionamiento Gamez (CP 36500), Irapuato, Gto","(462) 62-5-30-55","20.673435","-101.3466515"
"Oficialía 01 del registro civil celaya","Pipila Esq. I. Camargo (S/N), 2° Piso, Centro (CP 38000), Celaya, Gto","(461) 61-2-43-63","20.5182553","-100.8166151"
"Oficialía 08, Benito Juárez del registro civil de celaya","J. J. Torres Landa 706, esq. Brillante Sanjuanico (CP 38030), Celaya, Gto","(461) 61-5-88-34","20.5447535","-100.8014155"
"Oficialía 01, del registro civil san miguel de allende","Plaza Real del Conde (Locales AB 17-18-24-25) y Pasillo Cerrado Centro San Miguel de Allende, Gto","(415) 15-2-20-42","20.9118333","-100.7407895"
"Oficialía 01, del registro civil salamanca gto","Revolución número 103 Altos, Centro (CP 36700), Salamanca, Gto","(464) 64-7-29-79","20.5721858","-101.1999657"
"Oficialía 07, Bugambilias, Salamanca","J. Burgos 508, Fraccionamiento Bugambilias (CP 36700), Salamanca, Gto","(464) 64-1-32-66","20.5721858","-101.1999657"
