"nombre","direccion","contacto","latitud","longitud"
"Registro Civil de Hidalgo Dirección General","Plaza Juárez s/n, Col. Centro, C.P. 42000, Pachuca, Hidalgo.","01 771 717 60 00 ext. 6555","20.1301282","-98.7309741"
"Registro Civil de Acatlán","Calle 16 de enero s/n Col. Centro, Acatlán, C.P. 43540, Hgo.","01 775 754 51 48","0","0"
"Registro Civil de Acaxochitlan","Plaza Principal s/n, Col. Centro, Acaxochitlan, Hidalgo Presidencia","01 776 76 8 50 84","0","0"
"Registro Civil de Acaxoxhitlan","Plaza Principal s/n, col. Centro, Acaxochitlan, Hidalgo","01 776 7 52 00 90","20.1580998","-98.2032997"
"Registro Civil de Actopan","Hidalgo n° 8, Col. Centro. Actopan, Hidalgo","01 772 72 72 7 25 88 ext 6","20.2694324","-98.9424798"
"Registro Civil de Agua Blanca","Plaza Principal s/n, col. Centro, Agua Blanca, Hidalgo","01 774 9 74 10 30, 31 y 34","20.4560641","-98.03296669999999"
"Registro Civil de Alfajayucan","Plaza Cuauhtemoc s/n, Col. Centro, C.P. 42390 Alfajayucan, Hidalgo","01 738 728 8006","20.4099707","-99.3478861"
"Registro Civil de Almoloya","Francisco I. Madero s/n, col. Centro, Almoloya, Hidalgo","01 748 9 12 16 97","19.7010354","-98.40435509999999"
"Registro Civil de Apan","Lauro L. Méndez n° 6 pte. Apan, Hidalgo","01 748 91 20 781","19.711382","-98.45407"
"Registro Civil de Atitalaquia","Plaza Principal s/n Col. Centro, Atitalaquia, C.P. 42970, Hgo.","01 778 73 34 49","20.0531022","-99.2297238"
"Registro Civil de Atlapexco","Plaza Principal s/n, Col. Centro, C.P. 43060, Atlapexco, Hidalgo","01 789 89 44 006 – 44 004","21.016947","-98.34443929999999"
"Registro Civil de Atotonilco","Plaza Principal s/n Col. Centro, Atotonilco de Tula, C.P. 42980, Hgo.","01 775 735 00 54","20.0068807","-99.2210673"
"Registro Civil de Atotonilco el Grande","Av. Juárez esq. Viesca Palma s/n, col. Centro, Atotonilco el Grande, Hidalgo","01 774 7 43 00 40","20.286679","-98.669018"
"Registro Civil de Calnali","Plaza Principal s/n, col. Centro, Calnali, Hidalgo","01 774 9 74 20 48","20.8985071","-98.5858382"
"Registro Civil de Cardonal","Plaza Principal s/n, col. Centro, Cardonal, Hidalgo","01 759 7 27 00 93 y 94","20.0531022","-99.2297238"
"Registro Civil de Chapantongo","Palacio Municipal s/n, Chapantongo, Hidalgo","01 763 72 – 85 007","20.2853035","-99.41727279999999"
"Registro Civil de Chapulhuacan","Francisco Sarabia s/n, Chapulhuacan, Hidalgo","01 483 37 8 20 56 – 8 20 33","21.1565211","-98.9041713"
"Registro Civil de Chilcuautla","Plaza Principal s/n, Chilcuautla, Hidalgo","01 738 7 83 00 43","20.3276807","-99.2314492"
"Registro Civil de Cuautepec de Hinojosa","Palacio Municipal s/n Col. Centro, Cuautepec de Hinojosa, C.P. 43740, Hgo.","01 775 754 01 25 y 754 00 96","20.0368036","-98.3170569"
"Registro Civil de El Arenal","Av. Juárez s/n Col. Centro, C.P. 42680, El Arenal, Hidalgo","07 772 72 70 323 y 72","20.2248404","-98.90543559999999"
"Registro Civil de Eloxochitlan","Plaza Principall s/n, col. Centro, Eloxochitlan, Hidalgo","01 774 7 45 04 49","20.4236645","-98.02527769999999"
"Registro Civil de Emiliano Zapata","Benito Juárez Esq. 5 de mayo, Col. Centro, C.P. 43960, Emiliano Zapata, Hidalgo","01 748 91 50179 01 748 91 50508","19.6566401","-98.54747619999999"
