"nombre","direccion","contacto","latitud","longitud"
"Dirección General del Registro Civil","Av. Alcalde No. 1855 Edif. De Archivo P. B. Sector Hidalgo, C.P. 44280, Guadalajara, Jalisco","01 33 38-19-24-56","20.6850452","-103.342846"
"Registro Civil Acatic","Hidalgo 24, Col. Centro, C.P. 45470, Acatic, Jalisco","01 378 715 00 13","20.7803138","-102.9100069"
"Registro Civil Ahualulco de Mercado","González Madrid No. 11, Col. Centro, Ahualulco de Mercado, Jalisco.","13 867 52 01 58","20.7010056","-103.9764876"
"Registro Civil Ajijic","Colón No. 23 Col. Centro, C. P. 45920, Ajijic, Jalisco","01 376 76 61 760","20.2997518","-103.2649049"
"Registro Civil Ameca","Juàrez No. 32, Col. Centro, C.P. 46600, Ameca, Jalisco","0137580014 Ext. 121","20.5489137","-104.0391615"
"Registro Civil Arandas","Francisco Mora No. 76, Col. Centro, C.P. 47180, Arandas, Jalisco","13487847405","20.705006","-102.345371"
"Registro Civil Atemajác de Brizuela","Juárez No. 14 Col. Centro, C. P. 45790, Atemajac de Brizuela, Jalisco","01 326 42 50 114","20.1408274","-103.7285006"
"Registro Civil Atotonilco El Alto","Unidad Administrativa Benito Juàrez, Col. Centro, C.P. 47750 Atotonilco El Alto, Jalisco","13919173424","20.5493311","-102.5082935"
"Registro Civil Atoyac","Independencia 96, Col. Centro, C.P. 49200, Atoyac, Jalisco.","13 724 10 21 21","20.0084127","-103.517899"
"Registro Civil Autlán de Navarro","Venustiano Carranza No. 1, Col. Centro, Autlán de Navarro, Jalisco.","01 317 38 11 299","19.7719059","-104.3667968"
"Registro Civil Ayotlan","Clemente Aguirre, Col. Centro, C.P. 47930, Ayotlan, Jalisco","13459182217","20.5275683","-102.333377"
"Registro Civil Ayotlan ( La Rivera)","Hidalgo No. 13 A, Col. C.P. 59250 Ayotlan, Jalisco","13 56 56 80 999","20.5299754","-102.3306392"
"Registro Civil Ayutla","Palacio Municipal sn, Col. centro C.P. 48050 Ayutla, Jalisco","01 316 37 200 14","20.1280233","-104.3439311"
"Registro Civil Cabo Corrientes","Portal Hidalgo No. 12, Col. Centro, C.P. 48400, Cabo Corrientes, Jalisco","322 36 90090 y 90101","18.9799468","-97.78439940000001"
"Registro Civil Casimiro Castillo","Carranza Silva No. 1, Col. Centro, C.P. 48930, Casimiro Castillo, Jalisco","13573880039","19.6034846","-104.4356986"
"Registro Civil Cocula","Portal Obregón No. 30,Col. centro, Cocula, Jalisco","01 377 77 34 061","20.36489","-103.8228094"
"Registro Civil Colotlán","Hidalgo No. 33, Col. Centro, Colotlán, Jalisco.","","22.1126904","-103.268445"
"Registro Civil Cihuatlán","Juárez No. 57, Col. Centro, Cihuatlán, Jalisco.","01 315 35 53 083","19.2382916","-104.5562342"
"Registro Civil Cuquio","Jose Ayala s/n, Col. Centro, Cuquio, Jalisco.","13793 73 79 65 500","20.9275862","-103.0230461"
"Registro Civil Chapala","Madero No. 5, Col. Centro, Chapala, Jalisco.","01 376 76 55 05","20.3026657","-103.1912035"
"Registro Civil Degollado","Defensores No. 48, Col. Centro, C.P. 47980, Degollado, Jalisco","13459370101","20.4457911","-102.1347264"
"Registro Civil El Grullo","Obregón No. 48, Col. Centro,El Grullo, Jalisco","01 321 38 72 067","19.8057162","-104.2143417"
"Registro Civil Encarnación de Díaz","Constitución s/n, Col. Centro, Encarnación de Díaz, Jalisco","01 475 95 32 163","21.5263101","-102.2402568"
