"nombre","direccion","contacto","latitud","longitud"
"Registro Civil Dirección General de Morelia","Valentín Gómez Farias No. 525, Esq. Av. Héroes de Nocupetaro, Col. Industrial, C.P. 58160, Morelia, Mich.","01 443 1-13-42-00 Ext. 206","19.7093869","-101.2049226"
"Registro Civil de Acuitzio","Riva Palacio n° 1, Col. Centro, C.P. 58460, Acuitzio, Mich.","01 434 388 24 06","19.4963423","-101.3330185"
"Registro Civil de Aguililla","Miguel Maldonado n° 42, Col. Centro, C.P. 60570, Aguililla, Mich.","01 426 53 7 02 90","18.7353701","-102.788421"
"Registro Civil de Alvaro Obregón","Ignacio Ramírez Esq. Ricardo Flores Magón n° 78, Col. Centro, C.P. 58920, Alvaro Obregón, Mich.","01 455 352 30 85","0","0"
"Registro Civil de Angamacutiro de la Union","Galeana n° 13, Planta Alta Col. Centro, C.P. 58550, Angamacutiro, Mich.","01 44-33-78-93-63","0","0"
"Registro Civil de Angangeo","Juárez s/n Palacio Municipal, Col. Centro, C.P. 61413, Angangeo, Mich.","01 715 1-56-00-44 Ext. 23","0","0"
"Registro Civil de Apatzingán de la Constitución","Av. Constitución de 1814 n° 1, Col. Centro, C.P. 60600, Apatzingán, Mich.","01453 534 11 72","19.087754","-102.3543802"
"Registro Civil de Aporo","Nacional # 36. , Col. Centro, C.P. 61400, Aporo, Mich.","01 786 155 62 27","19.6700942","-100.4099889"
"Registro Civil de Aquila","Av. Cuauhtémoc n° 34, Col. Centro, C.P. 60870, Aquila, Mich.","01 313 3-27-71-83","18.6002913","-103.5036514"
"Registro Civil de Ario de Rosales","Alvaro Obregón n° 8, Col. Centro, C.P. 61830, Ario de Rosales, Mich.","01 422 521 04 96","19.2065232","-101.7039828"
"Registro Civil de Arteaga","Hidalgo s/n , Col. Centro, C.P. 60920, Arteaga, Mich.","01 753 541 00 26","18.356869","-102.290484"
"Registro Civil de Briseñas de Matamoros","Josefa Ortíz de Domínguez 2, C.P. 59120, Briseñas, Mich.","01 393 935 69 21","0","0"
"Registro Civil de Buenavista Tomatlán","Morelos Norte n° 40, Col. Centro C.P. 60500, Buenavista, Mich.","01 426 572 02 91","19.2090769","-102.5873702"
"Registro Civil de Carrillo Puerto","Av. Francisco I. Madero No. 242,Carrillo Puerto, Buenavista, Mich.","01 426 573 03 33","19.1618579","-102.7042599"
"Registro Civil de Caracuaro de Morelos","Av. Madero s/n Presidencia Municipal, Col. Centro, C.P. 61920, Caracuaro, Mich.","01 459 351 00 20 y 351-00-21","0","0"
"Registro Civil de Coahuayana de Hidalgo","Av. Morelos n° 250 Int. 3ª, Col. Centro, C.P. 60800, Coahuayana, Mich.","01 313 3-27 43-05","18.6992592","-103.6593189"
"Registro Civil de Coalcoman de Vazquez Pallares","P. Municipal, Col. Centro, C.P. 60840, Coalcoman, Mich.","01 424 533 00 07","18.77496","-103.159617"
"Registro Civil de Coeneo de la Libertad","5 de Mayo No. 272, C.P. 58400, Coeneo, Mich.","01 454 368 52 77","19.8176772","-101.5872352"
"Registro Civil de Contepec","Plaza Principal Presidencia Municipal, Col. Centro, C.P. 61020, Contepec, Mich.","01 447 4-78 50 05 y 08","19.9521591","-100.1619222"
"Registro Civil de Copandaro de Galeana","Miguel Hidalgo n° 57, Col. Copandaro de Galeana, C.P. 58870, Copandaro de Galeana, Mich.","01 455 3-58-09-11 y 3-58-09-20","19.8917572","-101.2139754"
"Registro Civil de Cotija de la Paz","Pino Suárez n° 100 Presidencia Municipal, Col. Centro, C.P. 59940, Cotija, Mich.","01 394 5-34 -20 33 y 4-26-70","19.8056843","-102.6991494"
"Registro Civil de Cuitzeo del Porvenir","Javier Clavijero No. 1, Centro, Cuitzeo, Mich.","01 455 35-7-02-52","0","0"
"Registro Civil de Charapan","Nacional s/n, Presidencia Municipal, Col. Centro, C.P. 60240, Charapan, Mich.","01 423 502 30 57 y 67","19.6491177","-102.2504469"
"Registro Civil de Charo","Av. Morelos s/n Presidencia Municipal, Col. Centro, C.P. 61300, Charo, Mich.","01 451 384 00 17","19.7467384","-101.0442269"
"Registro Civil de Chavinda","Gómez Farias n° 9, Col. Centro, C.P. 59580, Chavinda, Mich.","01 383 544 06 48","20.250532","-99.1914626"
"Registro Civil de Cheran","Portal Hidalgo s/n, Presidencia.Municipal, Col. Centro, C.P. 60270, Cheran, Mich.","01 423 594 20 44, 594-20-10","19.6877392","-101.9547783"
"Registro Civil de Cheran Tanaco","Domicilio Conocido, Plaza Principal, Tanaco, Cheran Mich.C.P. 60270,","01 423 594-40-03, 523-15-97","19.6877392","-101.9547783"
"Registro Civil de Chilchota","Domicilio Conocido Presidencia Municipal, Col. Centro, C.P. 59780, Chilchota, Mich.","01 355 511 54 47","19.8463172","-102.120398"
