"nombre","direccion","contacto","latitud","longitud"
"Registro Civil 1","Zaragoza 122 (CP 64000)","2020 9772","25.6761978","-100.3094882"
"Registro Civil 2","Garibaldi 627 sur (CP 64000)","8345 6798 y 8342 8573","0","0"
"Registro Civil 3","Escobedo 818 Nte., e/Salazar y Arteaga","8375 6457","0","0"
"Registro civil 4","Tapia 942 , e/Villagómez y Villagrán","8375 1384","0","0"
"Registro civil 5","Fernando Montes de Oca, e/Arteaga y Salazar","8355 2022","0","0"
"Registro civil 6","Avenida Paseo de los Leones 838, Col. Cumbres, 2° sector","8371 4260","0","0"
"Registro civil 7","Avenida Garza Sada 2322, Col. Roma (CP 64700)","8359 7515","25.6553552","-100.2950622"
"Registro civil 8","Colón 1812 pte, Centro (CP 64000)","8372 3026","0","0"
"Registro civil 9","Capitán Mariano Azueta, cruz con Juventino Rosas Col. Buenos Aires (CP 64800)","8358 5116","25.666055","-100.2880265"
"Registro civil 10","Avenida Colón cruz con Diego de Montemayor, Centro (CP 64000)","8372 6243","25.6731055","-100.3055339"
"Registro civil 11","Avenida L. Cárdenas 3828, Col. Las Torres (CP 64930)","8365 4615","25.6212005","-100.2862606"
"Registro civil 12","Avenida Lincoln 6516, Fracc. Villa Cumbres (CP 63340)","1095 9395","0","0"
"Registro civil 13","Sinaloa 821, e/16 de Septiembre e Iguala, Col. Nuevo Repueblo (CP 64720)","8190 1771","19.0339176","-98.2047631"
"Registro civil 14","Avenida Vicente Guerrero 2500, esq. con la Avenida Ruíz Cortínez,Plaza Centrika, Local S.18, Col. Centrika (CP 66410)","8351 4702","0","0"
"Registro civil 15","Rio Potomac 220, Col. Central e/Rio Santa Catarina y Xilofactos (CP 64190)","8371 5094","39.3035567","-94.7195096"
"Registro civil 16","Avenida Colón, Cruz con Idelfonso Vazquez, Col. Francisco I, Madero (CP 64560)","8355 4670","0","0"
"Registro civil 17","Tapia 715, e/Dr. Coss y Zuazua, Centro (CP 64000)","8372 9888 y 8372 1781","25.6640485","-100.3107207"
"Registro civil 18","Avenida Alfonso Reyes S/N, Cruz con Raúl Chapa, Col. Burocratas Municipales, Centro (CP 64000)","8358 9526","0","0"
"Registro civil 19","Avenida Gonzalitos 2211, e/Nevado de Toluca y Volcán de Ajusco (CP 64460)","8373 1988","0","0"
"Registro civil 20","5 de Mayo 975, Ote. Local 4, e/Platón y Diego de Montemayor, Centro (CP 64000)","8344 7863","25.6731055","-100.3055339"
"Registro civil 21","Avenida Lincoln 3624-A, e/Jardín del Parque y Ciudad Limón, Col. Residencial Lincoln (CP 64300)","8311 1100","0","0"
"Registro civil 22","Emilio Garza Melendez 6524, Planta Baja, Col. Ciudad Satelite, Lagos del Bosque (CP 64890)","8103 7386","25.6023415","-100.2623667"
"Registro civil 23","Centro Cívico Francisco Zarco, e/Garza García y Salinas, Col. Topo Chico (CP 64260)","8332 0782","25.734944","-100.330095"
"Registro civil 24","General B. Mitre 4578, Col. San Martin (CP 64210)","8322 6141","-20.3873204","-54.58316989999999"
"Registro civil 25","Liendo 610, Local 104, e/Matamoros y Padre Mier, Col. María Luisa","2020 9719","0","0"
"Registro civil 26","Avenida Paseo de Leones 200-2, Esquina con Termopila, Col. Cumbres tercer sector","8345 5482","0","0"
"Registro civil 27","Doctor Coss 1309, e/Constitución y Guillermo Prieto","2020 9953 / 54","0","0"
"Registro civil 28","Boulevard Puerta del Sol 319, Local 6, Centro Comercial Plaza Colima, Col. Colinas de San Jeronimo (CP 64630)","8347 7316","25.6854342","-100.3749677"
"Registro civil 29","Avenida Cuauhtémoc 200 Nte., Centro, (CP 64000)","8340 3220","25.6775882","-100.3182483"
"Registro civil 30","Bartolomé Mitre 241-A , Col. Fomerrey 111 (CP 64000)","1087 0080","0","0"
"Registro civil 31","San Luis Potosí 405, e/16 de Septiembre y 5 de Febrero, Col. Independencia","8190 8170","25.6600432","-100.3124774"
"Registro civil 32","Avenida Félix U. Gómez 1518-A, Col. Terminal (CP 64580)","8372 1747","25.6870067","-100.296533"
