"nombre","direccion","contacto","latitud","longitud"
"Juzgado 4 del registro civil puebla","Oriente No. 1007, Centro Histórico, Ciudad de Puebla, Puebla","222 235.2745","19.0303192","-98.1903344"
"Juzgado 3 del registro civil del estado de puebla","Avenida Reforma No. 710, Centro Histórico, Ciudad de Puebla, Puebla.","222 237.5727","19.0470757","-98.2036802"
"Juzgado 2 del registro civil de Puebla","Oriente No. 2003, Centro Histórico, Ciudad de Puebla, Puebla.","(222) 235.1165","19.0303192","-98.1903344"
"Registro civil de Zapotitlán Salinas","Allende No. 6, Centro, Zapotitlán, Tehuacán","(237) 383.6882","18.4362433","-97.4117132"
"Registro civil de Magdalena Cuayucatepec","Avenida Independencia No. 36","(238) 371 0076","19.4791418","-96.9191537"
"Registro civil de Altepexi","5 de Febrero S/N, Centro, Altepexi, Tehuacan, Puebla","(236) 381.1162","18.3635597","-97.2995086"
"Registro civil de Cañada de Morelos","Parque Hidalgo S/N, Centro, Cañada de Morelos, Tehuacan, Puebla","(249) 487.6016","18.4480103","-97.4167822"
"Registro civil de Mazatianquixco","Avenida Principal S/N, Mazatianquixco, Tehuacan, Puebla","(236) 488.7600","18.4665063","-97.40038009999999"
"Registro civil de Huejotzingo","Plaza Principal S/N, Huejotzingo, San Martín Texmelucan, Puebla","(227) 276 2112","19.2445492","-98.4046214"
"Registro civil de Domingo Arenas","Camino Real de Atexcac No. 2, Domingo Arenas, San Martín Texmelucan, Puebla","(227) 276 0399","19.1419047","-98.45815379999999"
"Registro civil de Chiautzingo","Constitución No. 5, Centro, Chiautzingo, Puebla","(248) 482 6150","19.258487","-98.45313499999999"
"Registro civil de Trinidad Tepango","Reforma No. 1, Trinidad Tepango, Puebla","(244) 445.7744","18.8618066","-98.44569949999999"
"Registro civil de Axocopan","Av.Reforma No. 1, Axocopan, Puebla","(244) 103.4070","18.9093614","-98.46736709999999"
"Registro civil de Atlixco","Blvd. Niños Héroes No. 805 Plaza Atlixco Local 43, Atlixco, Puebla","(244) 443 8237","19.0880554","-98.1400127"
"Registro civil 5 de San Pedro Cholula","Revolución No. 4, San Matías Cocoyotla, San Pedro Cholula, Puebla","(222) 247 0687","19.0765939","-98.3091745"
"Registro civil 6 de San Pedro Cholula","Iglesias No. 1, San Diego Cuachayotla, San Pedro Cholula, Puebla","(222) 247 6554","19.0854718","-98.3253586"
"Registro civil 14 de San Pedro Cholula","Cruz de Piedra S/N, San Sebastián Tepalcatepec, San Pedro Cholula, Puebla","(222) 221 5169","19.0933293","-98.3289557"
"Registro civil de Atempan","Palacio Municipal S/N, Centro, Atempan, Puebla","(231) 311.0278","19.8379586","-97.4564439"
"Registro civil de Chignautla","Palacio Municipal S/N, Centro, Chignautla, Puebla","(231) 313.1659","19.8131376","-97.3908283"
