"nombre","direccion","contacto","latitud","longitud"
"Registro Civil Dirección General","Calle de 5 de mayo n° 19 con Carmen Ochoa de Merino, C.P. 77000, Col. Centro, Chetumal, Q. R.","01 983 832 44 55","18.5001889","-88.296146"
"Registro Civil de Benito Juárez","Calle Margaritas n° 31, súper manzana 22, Col. Centro, Cancún, Q. R.","01 998 88 4 86 02|","21.161908","-86.8515279"
"Registro Civil Cozumel","Palacio Municipal, P.A., Av. Gonzalo Guerrero con Rafael Melgar s/n, Col Gonzalo Guerrero C.P. 77600, Cozumel, Q. R.","01 987 87 2 22 95","20.509926","-86.9463966"
"Registro Civil de Felipe Carrillo Puerto Oficialía 01","Calle 67 s/n, Col. Centro, C.P. 77200, Felipe Carrillo Puerto, Q. R.","01 983 834 04 49","19.5783421","-88.0454244"
"Registro Civil de Felipe Carrillo Puerto Oficialía 02","Calle 26 s/n Oficinas del Registro Civil, en la Alcaldía, Col. Centro C.P. 77120, Felipe Carrillo Puerto, Q. R.","01 983 208 91 22","19.5803342","-88.0440957"
"Registro Civil de Isla Mujeres","Hidalgo con Morelos s/n, Col. Centro, C.P. 77400, Isla Mujeres, Q. R.","01 998 877 00 98, 877 00 82 ext. 55","21.2366946","-86.7357679"
"Registro Civil de Isla Mujeres","Km. 15 Carretera Puerto Juárez s/n, C.P. 77400, Isla Mujeres, Q. R.","01 998 888 08 63","21.2366946","-86.7357679"
"Registro Civil de Lázaro Cárdenas","Adolfo López Mateos s/n, Col. Centro, C.P. 77300, Lázaro Cárdenas, Q. R.","01 984 875 00 30 ext. 110","21.1020434","-87.4876333"
"Registro Civil de Othón P. Blanco","Palacio Municipal, P.B., Av. Alvaro Obregón 321, C.P. 77000, Col. Centro, Chetumal, Q. R.","01 983 835 15 01 ext. 1125","18.5001889","-88.296146"
"Registro Civil de Othón P. Blanco","Plutarco Elías Calles No. 278, C.P. 77000, Col. Centro, Othón P. Blanco, Q. R.","01 983 835 15 01 ext. 1125","18.4994241","-88.3013299"
"Registro Civil de Solidaridad","Av. Juárez esq. n° 45 Plaza Papagayos, Col Centro C.P. 77710 Soliradidad Q. R.","01 984 80 3 18 41","0","0"
"Registro Civil de Solidaridad (Tulum)","Av. Tulum Oriente x Alfa sur s/n, Col. Centro, C.P. 77780, Solidaridad, Q.R.","01 984 871 29 83","0","0"
"Registro Civil José María Morelos","Calle Chilam Balam s/n, P.B., C.P. 77870, José María Morelos, Q. R.","01 997 978 01 20","19.7485675","-88.706081"
