"nombre","direccion","contacto","latitud","longitud"
"Registro Civil Oficialía de Culiacán","Calzada de los Insurgentes n° 1221, Sur Edificio Torre las Americas Acceso, Col. Centro C.P. 80000, Culiacán, Sin.","01 667 758 70 00 ext. 2705","24.8065527","-107.3937536"
"Municipio de Ahome","Santos Degollado esq. Cuauhtémoc s/n, Col. Centro, C.P. 81200, Los Mochis, Sin.","01 668 816-50-08","25.7926769","-108.9867774"
"Municipio de Angostura","16 de septiembre s/n, Col. Centro, C.P. 81600, Angostura, Sin.","01 697 734 00 40","25.0825432","-108.0554201"
"Municipio de Concordia","Benito Juárez y Javier Mina s/n, Col. Centro, C.P. 82602, Concordia, Sin.","01 694 968 03 54 / 01 694 968 03 32 / 01 694 968 00 02 ext. 108","23.288689","-106.0669571"
"Municipio de Culiacán","Álvaro Obregón y Mariano Escobedo s/n, Col. Centro, C.P. 80000, Culiacán, Sin.","01 667 758 01 01 ext. 1309","24.8066506","-107.3943955"
"Municipio de Choix","Prolongación n° 41, Col. Centro, C.P. 81701, Choix, Sin.","01 698 866 01 12","26.7087657","-108.3245451"
"Municipio de Elota","Antonio Toledo Corro s/n, Col. San José Conitaca, C.P.82701, Elota, Sin.","01 696 961 01 11 / 01 696 691 02 42 ext. 148","24.1205518","-106.8849759"
"Municipio de Escuinapa","Gabriel Leyva n° 1, Col. Centro, C.P. 82400, Escuinapa, Sin.","01 695 953 34 89 / 01 695 953 02 92","22.836541","-105.777589"
"Municipio de Fuerte, El","5 de Mayo e Hidalgo entre Morelos s/n, Col. Centro, C.P. 81821, El Fuerte, Sin.","01 698 893 01 45 ext. 129","26.417632","-108.6145938"
"Municipio de Guasave","Av. Adolfo López Mateos s/n, Col. Centro, C.P. 81040, Guasave, Sin.","01 687 871 87 07","25.5612118","-108.4697505"
"Municipio de Mazatlán","Benito Juárez y Angel Flores s/n, Col. Centro, C.P. 82000, Mazatlán, Sin..","01 669 982 21 11 ext. 1304 / 1320","23.2000684","-106.4214583"
"Municipio de Mocorito","Hidalgo y Morelos n° 32, Col. Centro, C.P. 80800, Mocorito, Sin.","01 673 735 02 92 / 01 673 735 02 75","25.4840523","-107.9222182"
"Municipio de Navolato","Rosales n° 49 Norte, Col. Centro, C.P. 80370, Navolato, Sin.","01 672 727 01 39","24.7607375","-107.6910874"
"Municipio de Rosario, El","Palacio Municipal s/n Interior Planta Alta, Col. Centro, C.P. 82800, El Rosario, Sin.","01 694 952 04 10 / 01 694 952 24 79 ext. 114","22.9899737","-105.8547173"
"Municipio de Salvador Alvarado","Boulevard Antonio Rosales y Francisco Villa s/n Col. Centro, C.P. 81400, Guamuchil, Salvador Alvarado, Sin.","01 673 732 06 40 ext. 113","25.4564739","-108.0805715"
"Municipio de Sinaloa","Hidalgo y Morelos s/n, Col. Centro, C.P. 81900, Sinaloa de Leyva, Sin.","01 667 875 03 38 / 01 687 875 00 02 / 01 687 875 03 39","25.8226854","-108.2216704"
"INEGI Culiacán","Calzada de los Insurgentes n° 1221, Sur Edificio Torre las Americas Acceso, Col. Centro C.P. 80000, Culiacán, Sin.","01 667 761 46 50","24.8065527","-107.3937536"
"Instituto Nacional de Migración Delegación Regional Sinaloa","Prolg. Aquiles Serdan s/n, Fracc. Playa Sur; Mazatlán, Sinaloa","01 698 13 12 11","23.1903188","-106.4212072"
