"nombre","direccion","contacto","latitud","longitud"
"Oficialía 01 del registro civil de reynosa","R. Linda Guerrero y H. Ramirez, Colonia Longoria (CP 88630)","899 909 88 50","0","0"
"Oficialía 02 del registro civil reynosa","R. Linda Guerrero y H. Ramirez, Colonia Longoria (CP 88630)","899 909 88 65","0","0"
"Oficialía 03 del registro civil de Reynosa","I. Mariscal S/N, Col. B. Juárez (CP 88970)","(899) 957 12 75","0","0"
"Oficialía 04 del registro civil de reynosa","Vicente Guerrero 747, Ote. Zona Centro (CP 88500)","(899) 922 40 44","25.6817362","-100.3125656"
"Oficialía 01 del registro civil de matamoros","Morelos 8 y 10, Edificio Terrazas, primer piso, zona centro (CP 87300)","(868) 813 52 74","0","0"
"Oficialía 02 del registro civil matamoros","Ocampo 500, Entre García y Martínez (CP 87300)","(868) 812 34 31","0","0"
"Oficialía 04 del registro civil de Matamoros tamaulipas","Morelos 8 y 10, Edificio Terrazas, primer piso, zona centro (CP 87300)","(868) 813 33 78","0","0"
"Oficialía 01 del registro civil nuevo laredo","Palacio Federal, Planta baja (CP 88000)","(867) 712 03 05","0","0"
"Oficialía 02 del registro civil de nuevo laredo","Washington y A. Serdan, esquina Col. Ferrocarrilera (CP 88050)","(867) 714-75-00","38.9071923","-77.0368707"
"Oficialía 03 del registro civil de Nuevo Laredo tamaulipas","Mendoza 1111, sector aduana (CP 88000)","(867) 719 50 44","-32.8894587","-68.8458386"
"Oficialía 04 del registro civil de Nuevo Laredo tamaulipas","Revolución, entre Cedillo y Ursula (CP 88000)","(867) 710 27 27 y (867) 710 07 96","0","0"
"Oficialía 01 del registro civil de Ciudad victoria","Calle 16 Norberto Treviño, esquina L. Torres Vázquez 3137, Col. Magisterial (CP 87026)","(834) 110-2216","34.9368642","-107.1957203"
"Oficialía 02 del registro civil ciudad victoria","Carrera y Aldama (CP 87026)","(834) 316 16 78 y (834) 316 05 13","34.9368642","-107.1957203"
"Oficialía 03 del registro civil de Ciudad Victoria","Libramiento Naciones Unidas y Blvd. Praxedis Balboa, Parque Bicentenario (CP 87026)","(834) 318 72 49","34.9368642","-107.1957203"
"Oficialía 01 del registro civil de Tampico","Aquiles Serdan 101, esquina Carranza (CP 89000)","(833) 214 20 47 y (833) 213 39 10","0","0"
"Oficialía 02 del registro civil tampico","Hidalgo 5004, Col. Sierra Morena (CP 89210)","(833) 213 15 87","22.2544696","-97.87660799999999"
"Oficialía 01 del registro civil de Ciudad Madero","Capitán E. Carranza 207 (CP 89400)","(833) 215 21 43","0","0"
"Oficialía 02 del registro civil ciudad madero","Sonora 103, esquina Tamaulipas, Col. Unidad Nacional (CP 89410)","(833) 215 65 69","22.2737962","-97.8460028"
"Oficialía 01 del registro civil de Río Bravo","F. Madero y Quintana Roo S/N (CP 88900)","(899) 934-05-84","0","0"
"Oficialía 01 del registro civil de Ciudad Mante","Guayaleco 301, Planta Alta, Zona Centro (CP 89800)","(831) 232-10-68","0","0"
"Oficialía 01 del registro civil de Altamira","Morelos 424, entre Juárez y Quintero (CP 89600)","(833) 264-12-17","0","0"
"Oficialía 01 del registro civil de Valle Hermoso","Hidalgo segunda y tecera N° 303 (CP 87500)","(894) 842 13 08","0","0"
