"nombre","direccion","contacto","latitud","longitud"
"Dirección General del Registro Civil","Portal Hidalgo n° 5, 1er. Piso, Col. Centro, C.P. 90000, Tlaxcala, Tlax.","01 246 462 77 16, 465 09 97 y 465 09 99","19.316602","-98.2374339"
"Kiosco Apizaco","Barberan y Collar Poniente n° 306, Centro Comercial Gigante, Col. Centro, C.P. 90300, Apizaco, Tlax.","01 246 4 65 09 00 ext. 1011","19.4172959","-98.1406835"
"Kiosko Calpulalpan","Guerrero n° 5, Col. Centro, C.P. 90200, Calpulalpan, Tlax.","01 246 4 65 09 02","19.5878934","-98.5678429"
"Kiosko Chiautempan","Ignacio Picazo Norte n° 52, Col. Santa Ana, C.P 90800, Chiautempan, Tlax.","01 246 4 65 09 02","19.3184194","-98.19416489999999"
"Kiosko Cuapiaxtla","Hidalgo n° 1, Col. Centro, C.P.90560, Cuapiaxtla, Tlax.","01 246 4 65 09 02","19.3642355","-97.6972179"
"Kiosco El Portal","Portal Hidalgo n° 5, Planta Baja, Col. Centro, C.P. 90000, Tlaxcala, Tlax.","01 246 462 77 16, 465 09 97 y 465 09 99","19.3185363","-98.23633749999999"
"Kiosko Huamantla","Juárez Sur n° 102, Centro Comercial 12 puertas, local 22, Col. Centro, C.P. 90500, Huamantla, Tlax.","01 246 4 65 09 02","20.2765619","-97.9642009"
"Kiosko San Pablo del Monte","Pablo Sidar Note n° 3, Col. Centro, C.P. 90970, San Pablo del Monte, Tlax.","01 246 4 65 09 02","19.1162267","-98.1748313"
"Kiosco Tlaxcala","Centro Comercial Soriana, Local 12, Col. Vista Hermosa Ocotlán, C.P. 90100, Tlaxcala, Tlax.","01 0246 04 65 09 00 ext 1010","19.3146652","-98.2240321"
"Kiosko Tlaxco","Portal Hidalgo n° 4, Col. Centro, C.P. 90250, Tlaxco Tlax.","04 246 4 65 09 02","19.6146694","-98.11965599999999"
"Kiosko Zacatelco","Lerdo de Tejada n° 21, Col. Centro, C.P. 97040, Zacatelco, Tlax.","01 246 4 65 09 02","18.6296437","-95.5198315"
"SEDESOL, Modalidad Identidad Jurídica en el Estado","Guridi y Alcocer s/n, Col. Centro, C.P. 90000, Tlaxcala, Tlax.","01 246 462 00 49 Ext. 3636","19.3178511","-98.23483569999999"
"INEGI Tlaxcala","Av. Revolución n° 30, Col. Atempan, Tlaxcala, Tlax.","01 246 462 19 19","19.3239733","-98.21315249999999"
"Instituto Nacional de Migración Delegación Regional Tlaxcala","Santos Degollado n° 62, Col. Centro, Tlaxcala, Tlaxcala.","01 246 464 08 27","19.3268333","-97.660707"
