"nombre","direccion","contacto"
"Registro Civil Dirección Estatal de La Paz","Boulevard Constituyentes y Av. De las Cabrias, Col. Fidepaz, La Paz, B.C.S.","01 612 124 28 50"
"Registro Civil Dirección Estatal","Manuel Márquez de León e Ignacio Ramírez n° 455, Col. Centro, C.P. 23000, La Paz, B.C.S.","01 612 125 26 90"
"Registro Civil de Cabo San Lucas Oficialía 02","Blvd. Constituyentes, Col. Magisterial, C.P. 23410, Los Cabos, B.C.S.","01 624 143 36 07"
"Registro Civil de Ciudad Constitución Oficialía 01","Allende y Lerdo de Tejada, Col. Centro, C.P. 23600, Comondú, B.C.S.","01 613 132 64 51"
"Registro Civil de Guerrero Negro Oficialía 01","Emiliano Zapata, Col. Loma Bonita, C.P. 23940, Mulege, B.C.S.","01 615 157 00 22"
"Registro Civil de La Paz Oficialía 07","J. Mújica Tamarindo y Mandarina, Col. Indeco, La Paz, B.C.S.","01 613 135 24 28"
"Registro Civil de Loreto Oficialía 01","Francisco I. Madero y Salvatierra, Col. Centro, C.P. 23880, Loreto, B.C.S.","01 613 135 24 28 y 00 36"
"Registro Civil de San José del Cabo Oficialía 01","Blvd. Mijárez y Benito Juárez, Col. Centro, C.P. 23410, Los Cabos, B.C.S.","01 624 142 39 38"
"Registro Civil de Santa Rosalia Oficialía 01","Plaza y Carranza, Col. Centro, Mulege, B.C.S.","01 612 123 94 00 ext. 4160"
"Registro Civil de Santiago Oficialía 03","24 de Febrero n° 130, Col. Centro, C.P. 23500, Los Cabos, B.C.S.","01 624 130 21 81"
"Registro Civil de Todos los Santos Oficialía 03","Centenario s/n, Col. Centro, C.P. 23300, La Paz, B.C.S.","01 612 125 01 20"
"Registro Civil de La Paz Oficialía 01","Allende entre Revolución y Madero Planta Alta, Col. Centro, C.P. 23000, La Paz, B.C.S.","01 612 125 73 13"
"Régimen Estatal de Protección Social en Salud","Revolución n° 471, Col. Centro, C.P. 23000, La Paz, B.C.S.","01 612 128 92 43"
"INEGI de La Paz","Altamirano n° 2790, Col. Centro, C.P. 23000 La Paz, B.C.S.","01 612 123 15 65 ext. 6808"
"SEDESOL, Modalidad Identidad Jurídica","Agustín Olachea Esq. Blvd.. Luis D. Colosio, Col. Residencial Las Garzas, La Paz, B.C.S.","01 612 122 05 24"
"Instituto Nacional de Migración Delegación Regional Baja California Sur","Lázaro Cardenas n° 1625, Col. Arenal-Centro, Los Cabos, B.C.S.","01 624 105 16 38"
