"nombre","direccion","contacto"
"Registro Civil de Mexicali, Dirección General","Edificio del Poder Ejecutivo Primer Piso, Centro Cívico y Comercial, C.P. 21000, Mexicali, B.C.","01 686 558 10 00 ext. 1700"
"Registro Civil de Ensenada Oficialia 01","Calle Reforma n° 1122, Col. Carlos Pacheco, C.P. 22890, Ensenada B.C.","01 646 152 10 88"
"Registro Civil de La Mesa Oficialía 02","Av. Los Charros y Allende s/n, Fraccionamiento Moreno, C.P. 22450, Tijuana, B.C.","01 664 622 44 26"
"Registro Civil de Mexicali Oficialía 01","Independencia n° 998, Centro Cívico, C.P.21000, Mexicali, B.C.","01 686 558 16 00 ext. 1740"
"Registro Civil de Mexicali Oficialía 03","Calle 4ª. y Carretera a San Luis s/n, Col. González Ortega, C.P. 21397, Mexicali, B.C.","01 686 561 94 25"
"Registro Civil de Mexicali Oficialía 05","Av. Guerrero y Calle Novena, Mexicali, B.C.","01 658 516 40 06"
"Registro Civil de Mexicali Oficialía 06","Av. Mar Blanco n° 773, Col. San Felipe, C.P. 21850, Mexicali, B.C.","01 686 577 16 50"
"Registro Civil de Playas de Tijuana Oficialía 04","Paseo Pedregal y Av. Del Agua, Sección Jardines, Fraccionamiento Playas de Tijuana, C.P. 22000, Tijuana, B.C.","01 664 631 08 34"
"Registro Civil de Vicente Guerrero Oficialía 02","Calle Rosario Meza n° 107, Col. Vicente Guerrero, C.P. 22920, Ensenada, B.C.","01 616 166 21 41"
"Registro Civil de Zona Centro Oficialía 07","Av. Paseo del Río n° 16, 3ra. Etapa del Río Tijuana, C.P. 22320, Tijuana, B.C.","01 664 627 00 46"
"Registro Civil de Tijuana Oficialía 01","Av. Independencia esq. Paseo Centenario n° 1350, Zona Urbana Río P. Municipal C.P. 22320 Tijuana, B.C.","01 664 973 70 82 y 70 83"
"Registro Civil de Tijuana Oficialía 03","Av. Aranjuez s/n Fraccionamiento Villa Fontana, Tijuana, B.C.","01 664 627 87 15"
"Registro Civil Tijuana Oficialía 04","Av. Miraflores n° 8351, esq. Cabo San Lucas, Col. San Antonio de los Buenos, C.P. 22180, Tijuana, B.C.","01 664 635 61 61"
"Registro Civil de Tijuana Oficialía 05","Av. Miraflores n° 8351, esq. Cabo San Lucas, Col. San Antonio de los Buenos, C.P. 22180, Tijuana, B.C.","01 664 635 61 61"
"Registro Civil de Tijuana Oficialía 06","Calzada Tecnológico s/n, Col. Altabrisa, C.P. 22414, Tijuana, B.C.","01 664 647 42 35"
"Registro Civil de Tijuana Oficialía 07","Calle 5ª n° 7727, Zona Centro, C. P. 22000, Tijuana B. C.","01 664 622 53 08"
"Registro Civil de Ensenada Oficialía 01","Calle Reforma n° 1122, Col. Carlos Pacheco, C.P. 22890, Ensenada, B.C.","01 646 152 10 88"
"Sistema Educativo Estatal","Av. Vicente Guerrero n° 137, Bahia, C.P. 22880, Ensenada, B.C.","01 646 172 43 64"
"Sistema Educativo Estatal","Industria n° 291, Col. Industrial, C.P. 21010, Mexicali, B.C.","01 686 559 86 00"
"INEGI Mexicali","Av. Pioneros n° 1005 2do. Piso, Palacio Federal, Col. Centro Cívico y Comercial, C.P. 21000, Mexicali, B.C.","01 686 557 39 14, Ext. 7601 y 7610"
"Instituto Nacional de Migración Delegación Regional Baja California","Puente Puerta México s/n,Col. Federal, Tijuana B.C.","01 682 98 62 y 682 49 52"
