"nombre","direccion","contacto"
"Dirección General del Registro Civil de Campeche","Calle 10 n° 54 Local 8 Edif. Campeche Col. Centro, C.P. 24000, Campeche, Camp.","01 981 8165 593"
"Registro Civil de Campeche","Calle 63 entre 10 y 8 Edif. Campeche Col. Centro, C.P. 24000, Campeche, Camp.","01 981 811 9200; ext. 1600"
"Registro Civil de Candelaria","Calle 18 s/n, Col. Centro, C.P. 24300, Candelaria, Camp.","01 602 01"
"Registro Civil de Champotón","Calle 30 N° 12- 4 Col. Centro, C.P. 24400, Champotón, Camp.","01 982 828 0005"
"Registro Civil de Champotón","Calle 16 N° 49 Col. Centro, C.P. 24400, Champotón, Camp.","01 982 823 1350"
"Registro Civil de Ciudad del Carmen","Calle 28 x 19 Col. Guanal, C.P. 24130, Cd. Del Carmen, Camp.","01 981 81 1 92 00, ext. 1930 y 1931"
"Registro Civil de Escarcega","Calle Justo Sierra s/n, Col. Revolución, C.P. 24350, Escarcega, Camp.",
"Registro Civil de Escarcega","Calle 17 por 20 s/n, Col. Centro, C.P. 24350, Escarcega, Camp.","01 982 813 1043"
"Registro Civil de Hecelchakan","Calle 14 por 17 s/n Col. Centro, C.P. 24810, Hecelchakan, Camp.","01 996 104 4887"
"Registro Civil de Hopelchen","Calle 18 N° 91 Col. Centro, C.P. 24611, Hopelchen, Camp.","01 996 434 4001"
"Registro Civil de Hopelchen","Calle 33 s/n Col. Centro, C.P. 24600, Hopelchen, Camp.","01 996 822 0183"
"Registro Civil de Hopelchen","Calle Carranza s/n Col. Centro, C.P. 24620, Hopelchen, Camp.","01 996 431 5098"
"Registro Civil de Palizada","Calle Hidalgo N° 3 Col. Centro, C.P. 24203, Palizada, Camp.","01 913 365 0111"
"Registro Civil de Tenabo","Calle 8 s/n Col. Centro, C.P. 24700, Tenabo, Camp.","01 981 112 7305"
"Municipio de Escarcega","Calle 28 x 19 Col. Guanal, C.P. 24130, Cd. Del Carmen, Camp.","01 982 824 0970 ext.40659"
"SEDESOL, Modalidad Identidad Jurídica en el Estado","Av. 16 Septiembre s/n Palacio Federal 2º. Piso, Col. Centro, C.P. 24000, Campeche, Camp.","01 981 656 11 ext. 117"
"Instituto Nacional de Migración Delegación Regional Campeche","31 n° 144, Col. Tacubaya, Cd. Del Carmen, Campeche.","01 938 382 13 30 y 384 10 81"
"Instituto Nacional de Migración Delegación Regional Campeche","Av. 16 de septiembre s/n, Palacio Federal, P.B., Campeche, Campeche.","01 981 816 28 68"
