"nombre","direccion","contacto"
"Dirección General del Registro Civil","2da. Sur Esq. Calle Central, Col. Centro, C.P. 29000, Tuxtla Gutiérrez, Chis.","01 961 614 85 80"
"Registro Civil de Palenque","Francisco Javier Mina s/n, Col. Centro, C.P. 29960, Palenque, Chis.","01 934 345 44 48"
"Registro Civil de Tuxtla Gutiérrez","Centro Comercial Soriana, Col. Plaza Poliforum, C.P. 29000, Tuxtla Gutiérrez, Chis.","01 961 60 437 09"
"Municipio de Acapetahua","Av. Central Norte No. 2, Col. Centro, C.P. 30580, Acapetahua, Chis.","01 918 647 00 00"
"Municipio de Ángel A. Corzo","1ª. Poniente Sur s/n, Col. Centro C.P. 30370, Ángel A. Corzo, Chis.","01 992 655 01 84"
"Municipio de Bellavista","Palacio Municipal s/n, Col. Centro, C.P. 30130, Bellavista, Chis.","01 200 123 84 68 y 67"
"Municipio de Benemérito de las Américas","Calle Central s/n, Col. Sector 1, C.P. 92955, Benemérito de las Américas, Chis.","01 200 123 9446"
"Municipio de Cacahotán","Central Sur y 6ª Poniente s/n, Col. Centro, C.P. 30890, Cacahotán, Chis.","01 962 622 01 60 / ext. 103"
"Municipio de Chenalhó","Hidalgo s/n, Col. Centro, C.P. 29870, Chenalhó, Chis.","01 919 673 70 35"
"Municipio de Chicomuselo","1ra.Av. Sur Poniente s/n esq. 3ª. Calle Poniente Sur, Col. Centro, C.P. 30120, Chicomuselo, Chis.","01 963 631 23 34"
"Municipio de Cintalapa","1ra. Norte Oriente No. 5, Col. Centro, C.P. 30400, Cintalapa, Chis.","01 968 684 20 10"
"Municipio de El Bosque","Palacio Municipal s/n Av. Central Hidalgo esq. Calle Juárez, Col. Centro, C.P. 29840, El Bosque, Chis.","01 919 10 19 130"
"Municipio de Escuintla","Calle Zaragoza Oriente No. 05, Col. Centro, C.P. 30600, Escuintla, Chis.","01 918 644 00 00"
"Municipio de El Porvenir","Calle Central s/n, Palacio Municipal, Col. Centro, C.P. 30970, El Porvenir, Chis.","01 962 622 74 92"
"Municipio de Francisco León","Domicilio Conocido, Col. San José Maspac, C.P. 29560, Francisco León, Chis.","01 555 150 53 68"
"Municipio de Huehuetán","Palacio Municipal s/n, Col. Centro, C.P. 30660, Huehuetán, Chis.","01 964 627 00 47"
"Municipio de Huitiupán","Av. Central esq. Calle Central, Col. Centro, C.P. 29710, Huitiupán, Chis.0.0..","01 919 673 90 17"
"Municipio de Huixtla","Av. Central Nte y Calle Fco. I. Madero No. 1, Col. Centro, C.P. 30640, Huixtla, Chis.","01 964 642 12 52 ext. 104"
"Municipio de La Concordia","Av. Central Oriente s/n, Col. Centro, C.P. 30360, La Concordia, Chis.","01 961 165 57 38"
"Municipio de La Grandeza","1ª Av. Sur s/n entre Central y 1ª Poniente, Col. Centro, C.P. 30960, La Grandeza, Chis.","01 200 123 86 11 y 13"
"Municipio de La Independencia","5ª. Av. Poniente Sur No. 5, Col. Barrio 16 de Septiembre, C.P. 30170, La Independencia, Chis.","01 963 101 00 31 y 32"
"Municipio de Larrainzar","Calle Constitución s/n, Zona Centro de la cabecera municipal, C.P. 29860, Larrainzar, Chis.","01 967 110 01 10"
"Municipio de Las Margaritas","1ª. Calle Sur Poniente No. 85, Col. Barrio Sacsalum, C.P. 30180, Las Margaritas, Chis.","01 963 105 15 01"
"Municipio de Las Margaritas","Unidad Administrativa Nuevo Momon, Col. Nuevo Momon, C.P. 30180, Las Margaritas, Chis.","01 963 634 42 81"
"Municipio de Las Rosas","Av. Central esquina con Calle Central No. 1, Col. Centro, C.P. 30350, Las Rosas, Chis.","01 992 672 02 17"
"Municipio de La Trinitaria","Presidencia Municipal Calle Central s/n, Col. Centro, C.P. 30160, La Trinitaria, Chis.","01 963 636 2022"
"Municipio de Mapastepec","3ª. Av. Norte y 1º Oriente s/n, Col. Centro, C.P. 30560, Mapastepec, Chis.","01 918 643 01 32"
"Municipio de Maravilla Tenejapa","Calle Hidalgo s/n, Col. Maravilla Tenejapa, C.P. 30180, Maravilla Tenejapa, Chis.","01 200 123 87 13, 14 y 15"
"Municipio de Mazapa de Madero","Av. Palacio Municipal s/n, Col. Centro, C.P. 30920, Mazapa de Madero, Chis.","01 962 622 30 05 y 06"
"Municipio de Mazatán","Av. Central Juárez s/n, Col. Centro, C.P. 30650, Mazatán, Chis.","01 694 698 40 00"
"Municipio de Ocosingo","Presidencia Municipal Calle Central s/n, Col. Centro, C.P. 29950, Ocosingo, Chis.","01 919 670 45 21"
"Municipio de Ocozocoautla","Palacio Municipal s/n, Col. Centro, C.P. 29140, Ocozocoautla, Chis.","01 968 688 06 76 y 688 29 57, 58 y 59 ext. 117"
"Municipio de Pueblo Nuevo Solistahuacán","Calle Nte. Ote. No. 201, Col..Guadalupe, C.P. 29750, Pueblo Nuevo Solistahuacán, Chis.","01 919 685 20 44"
"Municipio de San Cristóbal de las Casas","Palacio Municipal s/n, Col. Centro, C.P. 29000, San Cristóbal de las Casas, Chis.","01 967 678 04 14"
