"nombre","direccion","contacto"
"Oficialia 01 del Registro Civil Saltillo Coahuila","Ateneo 625, Centro, (cp 25000), Saltillo","(844) 412 05 05"
"Oficialia 02 del Registro Civil Saltillo","Xicotencatl Sur 153, Centro, (cp 25000), Saltillo","(844) 410 30 10"
"Oficialia 03 del Registro Civil Saltillo","Manuel Perez Treviño 774, Centro, (cp 25000), Saltillo","(844) 410 74 35"
"Oficialia 04 del Registro Civil Saltillo","Domicilio Conocido s/n, (cp 25324), Aguanueva, Saltillo","(844) 417 4029"
"Oficialia 07 de saltillo","Miguel Gomez 5, (cp 25300), Derramadero, Saltillo",
"Oficialia 08 de saltillo","Zaragoza 7, (cp 25335),gomez Farias, Saltillo","(844) 417 31 35"
"Oficialia 09 de Saltillo","Jesús Valdés Sánchez 1953, (cp 25298), La Aurora, Saltillo","(844) 431-70-24"
"Oficialia 11 de Saltillo","Carretera A Zacatecas Km 164 , (cp 25340), La Ventura, Saltillo","(844) 431 70 24"
"Oficialia 14 de Saltillo","Domicilio Conocido s/n , (cp 25336), San Juan Del Retiro, Saltillo",
"Oficialia 15 de Saltillo","Domicilio Conocido s/n, San Juan De La Vaqueria, Saltillo","(844) 488 08 28"
"Oficialia 16 de saltillo","Domicilio Conocido (cp 25301), El Clavel, La Noria, Saltillo","(844) 488 08 28"
"Oficialia 17 de saltillo","Domicilio Conocido, Presa De San Pedro, Saltillo","01 200 12 43 834"
"Oficialia 01 del Registro Civil Torreon Coahuila","Allende 840 (cp 2700), Centro, Torreon","(871) 712 22 45"
"Oficialia 02 del Registro Civil Torreon","Allende 1118 (cp 2700), Centro, Torreon","(871) 716 70 85"
"Oficialia 03 del Registro Civil Torreon","Allende 239 (cp 2700), Centro, Torreon","(871) 713 32 44"
"Oficialia 04 del Registro Civil Torreon","Domicilio Conocido s/n (cp 27430), Flor De Jimulco, Torreon","(871) 713 32 44"
"Oficialia 05 del Registro Civil Torreon","Cuarzo 123 (cp 27400), La Joya, Torreon","(871) 293 57 85"
"Oficialia 06 del Registro Civil Torreon","Antonio De Juambelz 421 L-4, Nuevo Torreon, Torreon","(871) 763 10 21"
"Oficialia 07 del Registro Civil Torreon","Presidente Carranza Ote. 1764 (cp 2700), Centro, Torreon","(871) 718 67 67"
"Oficialia 08 del Registro Civil Torreon","Blvd. Revolucion 260, Centro, Torreon","(871) 712 52 34"
"Oficialia 09 del Registro Civil Torreon","Blvd. Revolucion 260 (cp 27420), La Concha, Torreon","(871) 750-65-49"
"Oficialia 10 del Registro Civil Torreon","Domicilio Conocido s/n (cp 24412), La Paz, Torreon","(871) 711-69-95"
"Oficialia 11 del Registro Civil Torreon","Division Del Norte 161-a Las Misiones, Torreon","(871) 209-03-99"
"Oficialia 12 del Registro Civil Torreon","Madrid 676 (cp 27100), Torreon","(871) 718 90 02"
"Oficialia 01 del Registro Civil Monclova","De la Fuente 141 (cp 27500), Centro, Monclova","01 866 632 29 22"
"Oficialia 02 del Registro Civil Monclova","Juarez 101 (cp 27500), Centro, Monclova","(866) 633-19-45"
"Oficialia 03 del Registro Civil Monclova","Cuauhtemoc 821 (cp 25730), Centro, Monclova","(866) 633 02 62"
"Oficialia 04 del Registro Civil Monclova","Sidermex 1119 obrera Sur 2o. Sector (cp 25790), Centro, Monclova","(866) 110 62 60"
"Oficialia 06 del Registro Civil Monclova","Av. San Jose 908 (cp 25048), Centro, Monclova","866 633 33 00"
"Oficialia 01 del Registro Civil Acuña","Matamoros Local 2, Centro, Acuña","(877) 772 93 64"
"Oficialia 02 del Registro Civil Acuña","Plaza San José Local 1-2045, Centro, Acuña","(877) 772-15-04"
"Oficialia 05 del Registro Civil Acuña","Noche Buena Local 3, Centro, Acuña","(877) 773-21-86"
"Oficialia 01 del Registro Civil Matamorros","Niños Héroes Local10-2 (cp 27440), Centro, Matamorros",
"Oficialia 02 del Registro Civil Matamorros","Domicilio Conocido S/n, Union Del Barreal, Matamorros",
"Oficialia 03 del Registro Civil Matamorros","Domicilio Conocido S/n, El Manantial, Matamorros","(871) 125 36 58"
"Oficialia 04 del Registro Civil Matamorros","Domicilio Conocido S/n, El Coyote, Matamorros","(871) 268 12 96"
"Oficialia 01 de San Pedro","Lerdo 4 (cp 27800), Centro, San Pedro","(872) 772 77 38"
"Oficialia 02 de San Pedro","Hidalgo S/n (cp 27950), Centro, San Pedro","(872) 777 05 21"
"Oficialia 05 de Ramos Arizpe","Blvd. Plan De Gpe 255-a (cp 25900), Centro, Ramos Arizpe","9 62 16 12"
"Oficialia 01 de frontera","Blvd. Juarez 507, Centro, Frontera","(866) 634-42-37"
"Oficialia 01 de Muzquiz","Lucio Blanco Ote. 111 (cp 26340), Centro, Muzquiz","(866) 634 42 37"
"Oficialia 01 de Sabinas","Independencia s/n (cp 26700), Centro, Sabinas","(861) 612 02 26"
"Oficialia 01 de fco. I. Madero","Domicilio Conocido s/n (cp 27915), Lequeitio, Fco. I. Madero","(872) 773-61-03"
"Oficialia 01 de Parras","Reforma 2-a, Lequeitio, Fco. I. Madero, Parras","(842) 422 14 00"
"Oficialia 01 de San Juan De Sabinas","Presidente Juarez 81, San Juan De Sabinas","(861) 103-08-99"
