"nombre","direccion","contacto"
"Dirección General del registro civil DF","Arcos de Belén 19, Col. Doctores, Del. Cuauhtémoc (CP 06720)","5709-1710, 5709-2125, 5578-7140, 5761-5989, 5709-1290, 5709-8559"
"Juzgado N° 1","República de Brasil No 72, esquina Honduras, Plaza Santa Catarina, Centro Histórico.","5510-1036"
"Juzgado N° 2 del registro civil venustiano carranza","Fray Servando T. de Mier y F. del Paso y Troncoso Col., Jardín Balbuena Del. V. Carranza.","5764 2361 y 5768 3277 (Ext. 158)"
"Juzgado N° 3 del registro civil df","África 55, Col. Romero Rubio Del.V. Carranza.","5795 5054"
"Juzgado Nº 4","Gacela (s/n), esquina A. Tejeda, Col. Los Olivos, Del. Tlahuac.","5850 4196"
"Juzgado N° 5 del registro civil Tlalpan","Avenida Cruz Blanca (s/n), interior del Auditorio Ejidal del Pueblo de San Miguel Topilejo, Del. Tlalpan.","2290 9512"
"Juzgado N° 6 del registro civil Cuauhtemoc","5 de Febrero 161, Col. Obrera, del Cuauhtémoc","5761 7814 y 4335 8049"
"Juzgado N° 7","Zarco y Violeta, Col. Guerrero, del Cuauhtémoc","4335-8096"
"Juzgado N° 8 del registro civil mexico df","Avenida Yucatán, Esquina Antonio Anza, Col. Roma, Del. Cuauhtémoc","4335-8053 y 5264-3814"
"Juzgado N° 9","Calz. México Tacuba S/N, esquina Mar Árabe, Col. Tacuba, Del. M. Hidalgo","5527 2994"
"Juzgado N° 10","Patriotismo 797, Col. San Juan Mixcoac, Del. B. Juárez","5563 0932"
"Juzgado N° 11 del registro civil miguel hidalgo","Monte Altai, Esq. Con Alpes, Col. Lomas de Chapultepec, Del. M. Hidalgo","5520 3503 y 5249 3500 (Ext. 5012 y 5013)"
"Juzgado N° 12 del registro civil benito juarez","Bretaña y Orinoco, Col. Portales, Del. B. Juárez","5539 6375"
"Juzgado N° 13","A. Serdan 81, Col. Aragón La Villa, Del. G. Madero","5577 1139"
"Juzgado N° 14","Liceaga 93, Col. Doctores, Del. Cuauhtémoc.","4335-8050, 5578-3716 y 5242 6295 (Ext. 2215)"
"Juzgado N° 16","Av. Industria Militar (s/n), Estacionamiento anexo a la Sec. de la Defensa Nacional, Col. Lomas de Sotelo, Del. Hidalgo","5395-6910"
"Juzgado N° 17 del registro civil alvaro obregon","Avenida México, Esquina Avenida Toluca, Col. Progreso Tizapan, Del. A. Obregón","5550 6183"
"Juzgado N° 18","Calle 10, Esquina Canarios, Col. Ampliación Toltecas, Del. A. Obregón","5276 6556 y 5276 0036"
"Juzgado N° 19","Calzada De Las Armas, Esquina Parque Vía, Col. El Rosario, Del. Azcapotzalco","5383-5876 y 2626-7125"
"Juzgado N° 20 del registro civil coyoacan","Jardín Hidalgo 1, Col. Del Carmen, Del. Coyoacán","554-8565, 5554-0303"
"Juzgado N° 21 del registro civil Cuajimalpa","Avenida Juárez, esquina Guillermo Prieto, Col. Cuajimalpa, Del. Cuajimalpa De Morelos","5814-1176 (ext. 2117), 5814-1100 (directo)"
"Juzgado N° 22","Avenida 517 No 143, primer piso, Centro Social M. Hidalgo, Unidad Habitacional San Juan de Aragón, Del. G. Madero","5551-5861"
"Juzgado N° 23","Cartagena 10, Col. Zacatenco, Del. G. Madero","5119 4040"
"Juzgado N° 24 del registro civil iztacalco","Plutarco E. Calles y Río Churubusco, Col. Ramos Millan, Del. Iztacalco","5657 4226"
"Juzgado N° 25 del registro civil iztapalapa","Ayuntamiento (s/n), esquina Aldama, Jardín Cuitláhuac, Centro de Iztapalapa, Col. Barrio San Pablo, Del. Iztapalapa","5445 1035, 5686 7971 y 5445-1000, Ext. 1035, Archivo Directo 5445-1150"
"Juzgado N° 26 del registro civil de iztapalapa","Anillo Periférico Super Mza. 7, entre Revolución Social y G. Magaña, Unidad Vicente Guerrero, Col. Vicente Guerrero, Del. Iztapalapa","5613 5444"
"Juzgado N° 27 del registro civil magdalena contreras","Avenida Obregón 20, Col. Barranca Seca, Del. M. Contreras","5449-6000 (ext. 1206) y 5449 6067"
"Juzgado N° 28 del registro civil milpa alta","Constitución y Sonora (Frente Edificio Morelos), Col. Villa Milpa Alta, Del. Milpa Alta","5862 3150, 5844 7650 (Ext. 1417) y 1711 2742"
"Juzgado N° 29","E. Zapata y S. Ceniceros, Col. Barrio de La Magdalena, Del. Tláhuac","5842 2207 y 5842 0444 al 47 (ext. 168), 5842 0045"
"Juzgado N° 30","San Juan de Dios y Coscomate (s/n), Col. Toriello Guerra, Del. Tlalpan","5665 3458 y 5606 4238"
"Juzgado N° 31","Cárcamo (s/n), esquina Canal de Miramontes, Col. Unidad Villa Coapa, Del. Tlalpan","5603 5743"
"Juzgado N° 32 del registro civil xochimilco","Prol. Division del Norte y Gladiola, Edificio Delegacional, Col. San Pedro, Xochimilco","5334 0600 (Ext. 3759)"
"Juzgado N° 33 del registro civil gustavo a madero","Prol. Loreto Favela (s/n), Centro Deportivo Los Galeana, Col. Casas Alemán, Del. Gustavo A. Madero","2158 7901"
"Juzgado N° 34","Sur 8, Esquina Oriente No 237, Col. Agrícola Oriental, Del. Iztacalco","5558 6147"
"Juzgado N° 35","Tekal e Izamal, Centro deportivo R. Sánchez Taboada, Col. Héroes de Padierna, Del. Tlalpan","5644 2092"
"Juzgado N° 36 del registro civil azcapotzalco","Avenida Morelos, esquina Calz. S. Ahuizotla, Del. Azcapotzalco","5358 9470"
"Juzgado N° 37 del registro civil coyoacan","Casa de la Cultura Flores Magón Calz. de la Virgen, Col. CTM Culhuacán, Del. Coyoacán","5608 0620"
"Juzgado N° 38","Fco. P. Miranda, esquina Lomas de Plateros, Col. Merced Gómez, Del. A. Obregón","5593 2924"
"Juzgado N° 40","Camino a Santiago 9, Col. Santiago Acahualtepec, Del. Iztapalapa","5832 3533"
"Juzgado N° 41","Avenida Revolución 127, Esquina José Ma. Vigil, Col. Escandón, Del. Hidalgo","5272 7415 y 52727457"
"Juzgado N° 42","Montes Urales 800, P.B. (Dentro del Hospital de Perinatología), Col. Lomas Virreyes, Del. Hidalgo","5202 2515"
"Juzgado N° 43","Prolongación Díaz Mirón 374, dentro del Hospital de la Mujer, Col. Santo Tomás, Del. Hidalgo",
"Juzgado N° 44","Avenida Juárez (s/n), Edificio Atención Ciudadana (PB), Col. Cuajimalpa, Del. Cuajimalpa de Morelos","5814-1140, 5814-1100 (Ext. 2118)"
"Juzgado N° 45","San Lorenzo 502, primer piso, Edificio de investigación y Enseñanza, Hospital 20 de noviembre, Col. Del Valle, Del. B. Juárez, D.F","5200-5003 (Ext. 14188)"
