"nombre","direccion","contacto"
"Dirección General del Registro Civil de Durango","Sauca 721, Jardines de Durango","(618) 137-96-76"
"Oficialia 24 del registro civil de Durango","Mercurio N° 105, Fidel Velaz, Durango","618-8-14-27-40"
"Oficialia 25 del registro civil de Durango","Cuauhtemoc 683, Zona sur, Durango","8-13-58-10"
"Oficialia 26 del registro civil de Durango","Hidalgo 820, Durango","618-8-11-37-60"
"Oficialia 01 del registro civil de Durango","Domicilio conocido, Abraham Glez","5-96-18-20"
"Oficialia 03 del registro civil durango","Domicilio conocido, Aquiles Serdan","8-00-22-68"
"Oficialia 04 del registro civil de Durango","Domicilio conocido, el Arenal","8-76-50-11"
"Oficialia 05 del registro civil de Durango","Domicilio conocido, Contreras","8-24-90-76"
"Oficialia 07 del registro civil de Durango","Batallon de puebla (s/n), Col. 5 de Mayo","5-96-18-20"
"Oficialia 08 del registro civil en Durango","Domicilio conocido, Ignacio Zaragoza","01-200-124-60-18"
"Oficialia 10 del registro civil de Durango","Melchor Ocampo (s/n), Llano Grande","8-76-16-16"
"Oficialia 12 del registro civil de Durango","Domicilio conocido, Otinapa","044-618-1-69-39-16"
"Oficialia 13 del registro civil de Durango","Domicilio conocido, Parras de la Fuente",
"Oficialia 14 del registro civil de Durango","Domicilio conocido, Pilar de Zaragoza","5-96-05-12"
"Oficialia 15 del registro civil de durango","Domicilio conocido, el San Benito",
"Oficialia 16 del registro civil de Durango","Domicilio conocido, Refugio Salcido","8-26-71-34"
"Oficialia 18 del registro civil de Durango","Domicilio conocido","5-96-18-20"
"Oficialia 19 del registro civil de Durango","Domicilio conocido",
"Oficialia 20 del registro civil de Durango","Domicilio conocido","8-76-30-11"
"Oficialia 21 del registro civil de Durango","Barreda 500, esquina Victoria","(618) 811-7786"
"Oficialia 24 del registro civil de Durango","Domicilio conocido","5-96-18-20"
"Oficialia 25 del registro civil de Durango","Domicilio conocido","5-96-18-20"
"Oficialia 01 del registro civil de Gomez Palacio","Calzada Forjadores 503, Gómez Palacio","871-1-75-20-11 y 1-75-20-10"
"Oficialia 10 del registro civil gomez palacio","C. Victoria 528, Gómez Palacio","045-87-11-994-05"
"Oficialia 01 del registro civil de Lerdo","Allende 174, Lerdo","(871) 725-13-61"
"Oficialia 04 del registro civil de Lerdo","Gómez Palacio 314, Lerdo","045-87-12-69-09-83"
"Oficialia 01 del registro civil de Pueblo Nuevo","Domicilio conocido, El salto","(675) 87-6-17-35"
