"nombre","direccion","contacto"
"Oficialía 2 del registro civil de chilpancingo","Ed. Juan Alvarez calle Zaragoza, esquina 16 de septiembre num. SN (CP 39000), Chilpancingo de los Bravo, Guerrero","(747) 471 9137, (747) 471 0302, (747) 472 4455"
"Oficialia_2","Avenida Julian Blanco SN (CP 39121), Chilpancingo de los Bravo, Guerrero","(745) 477 1179"
"Oficialía 1 del Registro Civil de Iguala Guerrero","Avenida Vicente Guerrero 1 (cp 40000), Iguala de la Independencia Estado, Guerrero","(733) 333 9626"
"Oficial 01 del Registro Civil Zihuatanejo","Ext. 147 Paseo De Zihuatanejo Poniente 21, Col., La Deportiva, Interior del Palacio Municipal, Zihuatanejo De Azueta, Guerrero","(755) 555 0700"
"Oficialía 34 del Registro Civil Acapulco de Juarez","Adolfo López Mateos 46, Fraccionamiento Las Playas, (cp 39390), Acapulco, Guerrero","52 744 482 2569"
"Oficialía 01 del registro civil taxco","Fundiciones 6 (cp 40200), Taxco De Alarcon Estado, Guerrero","(762) 6220125 (ext 139)"
"Oficialia 01 del Registro Civil Tlapa","Hidalgo Esq. Con Fonseca Sn (cp 41304), Tlapa De Comonfort, Guerrero","(757) 491345"
"Oficialia 02 del Registro Civil Chilapa","Álvarez 184 (cp 41101), Chilapa De Álvarez, Guerrero","(756) 473 3054"
"Oficialia 01 del Registro Civil Pungarabato","Ave. Pungarabato Ptc, Esq Con Moya (cp 40660), Pungarabato, Ciudad Altamirano, Guerrero","(767) 672 0153 (ext 103)"
"Oficialia 01 del Registro Civil Ometepec","Constitucion (cp 41700), Ometepec, Guerrero","(741) 412 0240 (ext 106)"
