"nombre","direccion","contacto"
"Dirección General del Registro Civil","Av. Alcalde No. 1855 Edif. De Archivo P. B. Sector Hidalgo, C.P. 44280, Guadalajara, Jalisco","01 33 38-19-24-56"
"Registro Civil Acatic","Hidalgo 24, Col. Centro, C.P. 45470, Acatic, Jalisco","01 378 715 00 13"
"Registro Civil Ahualulco de Mercado","González Madrid No. 11, Col. Centro, Ahualulco de Mercado, Jalisco.","13 867 52 01 58"
"Registro Civil Ajijic","Colón No. 23 Col. Centro, C. P. 45920, Ajijic, Jalisco","01 376 76 61 760"
"Registro Civil Ameca","Juàrez No. 32, Col. Centro, C.P. 46600, Ameca, Jalisco","0137580014 Ext. 121"
"Registro Civil Arandas","Francisco Mora No. 76, Col. Centro, C.P. 47180, Arandas, Jalisco",13487847405
"Registro Civil Atemajác de Brizuela","Juárez No. 14 Col. Centro, C. P. 45790, Atemajac de Brizuela, Jalisco","01 326 42 50 114"
"Registro Civil Atotonilco El Alto","Unidad Administrativa Benito Juàrez, Col. Centro, C.P. 47750 Atotonilco El Alto, Jalisco",13919173424
"Registro Civil Atoyac","Independencia 96, Col. Centro, C.P. 49200, Atoyac, Jalisco.","13 724 10 21 21"
"Registro Civil Autlán de Navarro","Venustiano Carranza No. 1, Col. Centro, Autlán de Navarro, Jalisco.","01 317 38 11 299"
"Registro Civil Ayotlan","Clemente Aguirre, Col. Centro, C.P. 47930, Ayotlan, Jalisco",13459182217
"Registro Civil Ayotlan ( La Rivera)","Hidalgo No. 13 A, Col. C.P. 59250 Ayotlan, Jalisco","13 56 56 80 999"
"Registro Civil Ayutla","Palacio Municipal sn, Col. centro C.P. 48050 Ayutla, Jalisco","01 316 37 200 14"
"Registro Civil Cabo Corrientes","Portal Hidalgo No. 12, Col. Centro, C.P. 48400, Cabo Corrientes, Jalisco","322 36 90090 y 90101"
"Registro Civil Casimiro Castillo","Carranza Silva No. 1, Col. Centro, C.P. 48930, Casimiro Castillo, Jalisco",13573880039
"Registro Civil Cocula","Portal Obregón No. 30,Col. centro, Cocula, Jalisco","01 377 77 34 061"
"Registro Civil Colotlán","Hidalgo No. 33, Col. Centro, Colotlán, Jalisco.",
"Registro Civil Cihuatlán","Juárez No. 57, Col. Centro, Cihuatlán, Jalisco.","01 315 35 53 083"
