"nombre","direccion","contacto"
"Dirección General del Registro Civil","Calle de la Luz n° 88, Col. Centro, C.P. 62000, Cuernavaca, Morelos","01 777 322 24 89"
"Registro Civil de Atlatlahucan","Independencia esq. Hidalgo s/n, Barrio San Mateo, Atlatlahucan, Morelos","01 735 351 40 16 ext. 20"
"Registro Civil de Axochiapan Oficialía 01","Leandro Valle s/n, Col Centro, C.P. 62950, Axochiapan, Morelos","01 769 351 00 24 ext. 207"
"Registro Civil de Ayala","Rodrigo Avelar n° 8, Col. Centro, C.P. 62700, Ayala, Morelos","01 735 308 23 44 ext. 227"
"Registro Civil de Cuautla Oficialía 01","Portal Morelos n° 1, Col. Centro, C.P. 62740, Cuautla, Morelos","01 735 352 34 77"
"Registro Civil de Cuernavaca Oficialia 3","Av. Universidad n° 108, Col. Buenavista, C.P. 62130, Cuernavaca, Morelos","01 777 311 69 89"
"Registro Civil de Emiliano Zapata Oficialía 01","Plaza 10 de Abril s/n, Col. Centro, C.P. 62760, Emiliano Zapata, Morelos","01 737 368 06 57"
"Registro Civil de Huitzilac","Calle Lázaro Cárdenas n° 1, Col. Centro, C.P 62510, Huitzilac, Morelos","01 739 393 02 94"
"Registro Civil de Jantetelco Oficialía 01","Reforma s/n, Col. Centro, C.P. 62970, Jantetelco, Morelos","01 735 311 20 04"
"Registro Civil de Jiutepec","R Ampudia del Valle n° 18, Col. Centro, C.P. 62550, Jiutepec, Morelos","01 777 319 59 76"
"Registro Civil de Jiutepec Oficialía 02","Av. Hidalgo n° 1 esq. Real de Yautepec, C.P. 62570 Tejalpa, Jiutepec, Morelos","01 77 321 12 04"
"Registro Civil de Jojutla","Jardín Central s/n, Col. Centro, Jojutla, Morelos","01 734 342 875"
"Registro Civil de Jonacatepec Oficialía 01","Plaza Zapata s/n, Col. Centro, Jonacatepec, C.P. 62930, Morelos","01 735 355 16 44"
"Registro Civil de Mazatepec Oficialía 01","Aldama n° 18, Col. Centro, C.P. 62630, Mazatepec, Morelos","01 737 373 06 01"
"Registro Civil Miacatlán","Plaza Emilio Carranza s/n, Col. Centro, Miacatlan, C.P. 62600, Morelos","01 737 373 02 14"
"Registro Civil Puente de Ixtla","Inter. Jardín Juárez s/n, Col. Centro, C.P. 62660, Puente de Ixtla, Morelos","01 751 344 02 97"
"Registro Civil de Ocuituco","Plaza Principal s/n, Col. Centro, C.P. 62850, Ocuituco, Morelos","01 731 357 01 01"
"Registro Civil de Temixco","Av. Emiliano Zapata n° 16, Col. Centro, C.P. 62580, Temixco, Morelos","01 777 365 30 68"
"Registro Civil de Temoac","Carr. Emiliano Zapata s/n, C.P. 62870, Col. Centro, Temoac, Morelos","01 731 357 41 04"
"Registro Civil Tepalcingo","Reforma s/n, Col. Barrio San Martín, Tepalcingo, Morelos","01 769 351 81 31"
"Registro Civil de Tepoztlan Oficialía 01","Envila s/n Esq. 5 de mayo, Col. Centro, Tepoztlan, C.P. 62520, Morelos","01 739 395 34 6"
"Registro Civil Tetecala","Plaza de la Constitución s/n, Col. Centro, Tetecala, Morelos","01 751 396 02 28"
"Registro Civil de Tétela del Volcán","Plaza Principal s/n, C.P. 62800, Tétela del Volcán, Morelos","01 731 337 12 01"
"Registro Civil Tlaltizapan","Hidalgo Sur n° 02, Col. Centro, Tlaltizapan, C.P. 62770, Morelos","01 734 5 17 54"
"Registro Civil de Tlaquiltenango","Plaza Revolución s/n, Col. Centro, Tlaquiltenango, Morelos","01 734 214 32"
"Registro Civil Tlayacapan","Plaza Constitución s/n, C.P. 62540, Col. Centro, Tlayacapan, Morelos","01 735 35 76 75"
"Registro Civil de Totolapan","Plaza de la Constitución s/n, Col. Centro, C.P. 62830, Totolapan, Morelos","01 735 351 42 73 ext. 209"
"Registro Civil Xochitepec","Plaza Colón s/n Esq. Rep. De Costa Rica, Col. Centro, C.P. 62790, Xochitepec, Morelos","01 777 361 21 58, 361 24 05 ext. 112"
"Registro Civil de Yautepec","Jardín Juárez n°1, Col. Centro, CP.62731, Yautepec, Morelos","01 735 394 07 88"
"Registro Civil Yecapixtla","Plazuela Libertad n° 102, Col. Centro, C.P. 62220, Yecapixtla, Morelos","01 731 357 20 17, 7 20 17, 7 51 46, 7 27 20"
"Registro Civil de Zacatepec","Emiliano Zapata n° 23, C.P. 62780, Col. Centro, Zacatepec, Morelos","01 734 3 22 26, 3 44 84, 3 44 85"
"Registro Civil Zacualpan","Plaza de la Constitución n° 1, Col. Centro, C.P. 62890, Zacualpan, Morelos","01 731 357 80 28"
"Instituto Nacional de Migración Delegacion Regional Morelos","1ª. Priv. de la Luz No. 25, col. Chapultepec, Cuernavaca, Morelos","01 777 3 15 96 10 ext. 204"
