"nombre","direccion","contacto"
"Registro Civil Dirección General","México y Abasolo S/N, Col. Centro C.P. 63000, Tepic, Nayarit.","01 311 215 21 46 Directo"
"Registro Civil Acaponeta","Morelos n° 6 Pte., Col. Centro, C.P. 6343, Acaponeta, Nayarit","01-325-2-52-21-36"
"Registro Civil de Ahuacatlan","Hidalgo y 20 de Noviembre s/n, Col. Centro, C.P. 63900, Ahuacatlan, Nayarit","01-324-241-03-96"
"Registro Civil de Amatlán de Cañas","Emilio Carranza s/n, Col. Centro C.P. 63961, Amatlán de Cañas , Nayarit","01 324 2 47 01 45"
"Registro Civil Bahía de Banderas","Zacatecas, No. 10, Col. Centro, C.P. 63731, Bahía de Banderas, Nay.","01 329 29 10 63 1"
"Registro Civil de Compostela","Hidalgo y Morelos s/n, Col. Centro, C.P. 63700, Compostela, Nayarit.","01 327 277 05 24"
"Registro Civil de El Nayar","Jesús María s/n, Col. Centro C.P. 63530, El Nayar , Nayarit","01 200 1 24 80 70"
"Registro Civil de Huajicori","Abasolo y Prisciliano Sánchez s/n, C.P. 63480, Huajicori, Nayarit","01 325 25 17 060"
"Registro Civil de Ixtlan del Rio","Hidalgo y Francisco I. Madero s/n, Col. Centro C.P. 63940., Tepic.Nayarit.","01 324 24 34 258"
"Registro Civil de Jala","Presidencia Municipal s/n, Col. Centro , Jala, Nayarit","01 324 6 2 76 00 03"
"Registro Civil de Rosamorada","México n° 14, Col. Centro C.P. 63630, Rosamorada , Nayarit","01 319 2 34 00 05 y 2 34 00 01"
"Registro Civil de Ruiz","Hidalgo n° 214, Col. Centro, C.P. 63000, Ruiz, Nayarit.","01 319 2 33 01 50"
"Registro Civil de San Blas","Canalizo y Sinaloa s/n, Col. Centro, C.P. 63740, San Blas, Nayarit","01 323 2 85 00 05 y 2 85 02 03"
"Registro Civil de Santa María del Oro","Ramón Corona s/n, Col. Centro C.P. 63830, Santa María del Oro , Nayarit","01 327 2 44 01 90 ext. 108"
"Registro Civil de San Pedro Lagunillas","Hidalgo y Zaragoza s/n, Col. Centro C.P. 63800, San Pedro Lagunillas , Nayarit","01 327 2 58 50 36"
"Registro Civil de Santiago Ixcuintla","Calle 20 de Noviembre e Hidalgo s/n, Col. Centro C.P. 63300, Santiago Ixcuintla, Nayarit","01 323 2 35 05 95"
"Registro Civil de Tecuala","México y Escobedo s/n, Col. Centro C.P. 63440, Tecuala , Nayarit","01 389 2 53 02 15"
"Registro Civil de Tepic (oficina auxiliar para el Municipio de la Yesca)","Av. Juárez n° 478, Col. Centro C.P. 63000, Tepic, Nayarit","01 311 2 10 75 76 y 2 10 77 01"
"Registro Civil de Tuxpan","Hidalgo y Zaragoza, Col. Centro, C.P. 63000, Tuxpan, Nayarit.","01 319 232 06 12"
"Registro Civil de Xalisco","Hidalgo y Juárez s/n, Col. Centro, C.P. 63780, Xalisco, Nayarit","01 311 2 11 20 20 , 2 11 01 21, 2 11 09 59 ext. 108"
