"nombre","direccion","contacto"
"Oficialia 01 del registro civil de Guadalupe","Jiménez 104, entre Zaragoza y Barbadillo, Zona Centro, Guadalupe","01 (81) 83 55 17 55"
"Oficialia 02 del registro civil guadalupe","Aleman 150, Depto 1, Col. Libertad, Guadalupe","01 (81) 83 77 84 68"
"Oficialia 03 del registro civil de Guadalupe","Cavazos 1065, Col. Puesta del Sol, Guadalupe","01 (81) 83 17 24 86"
"Oficialia 04 del registro civil de Guadalupe","Zaragoza 221, Col. Centro, Guadalupe","01 (81) 83 54 04 90"
"Oficialia 05 del registro civil de Guadalupe","Avenida Plutarco E. Calles 340 D3, Col. La Fuente, Guadalupe","01 (81) 83 67 96 42"
"Oficialia 06 del registro civil de Guadalupe","Av. Serrafín P. Cruz con Av. Nuevo León, Col. Insurgentes, Guadalupe","01 (81) 83 60 80 39"
"Oficialia 07 del registro civil de Guadalupe","Guadalajara 210, Local 3, Col. J. Zozaya, primer Sector, Guadalupe","01 (81) 83 41 08 32"
"Oficialia 01 del registro civil de Apodaca","Escobedo 604, entre Aldama y Careterra 600, Apodaca","01 (81) 83 86 26 34"
"Oficialia 02 del registro civil de Apodaca","5 de mayo 103, local 4, entre Matamoros e Hidalgo, Apodaca","01 (81) 83 86 17 28"
"Oficialia 03 del registro civil apodaca","Estelaris 422, Entre San Jorge y San José, Apodaca","01 (81) 20 20 92 09"
"Oficialia 01 del registro civil San nicolás","Jorge González Camarena (S/N), Col. Roble, San Nicolás de los Garza","01 (81) 83-53-41-77"
"Oficialia 02 del registro civil San nicolás","Av. Nogalar 143, Col. Cuauhtemoc, San Nicolás de los Garza","01 (81) 83-52-55-39"
"Oficialia 03 del registro civil San nicolás","Montemayor 149, Fracción Nuevo Mundo, San Nicolás de los Garza","01 (81) 83-34-69-75"
"Oficialia 04 del registro civil san nicolas","San Nicolás 1203, Fracción Las puentes, segundo sector, San Nicolás de los Garza","01 (81) 83-30-21-84"
"Oficialia 01 del registro civil de General Escobedo","Juárez 110, Pte. Col. Centro, General Escobedo","01 (81) 83-84-05-39"
"Oficialia 02 del registro civil escobedo","Lozano 515, Col. Residencial California, General Escobedo","01 (81) 83-07-10-90"
"Oficialia 03 del registro civil Escobedo","Blvd. Benito Juárez 106, Local 9, Col. Elizondo, General Escobedo","01 (81) 20-20-63-29"
"Oficialia 01 del registro civil Santa Catarina","Constitución 112, Local 2 y 3, Zona Centro, Santa Catarina","01 (81) 83-88-86-51"
"Oficialia 02 del registro civil santa catarina","Hidalgo 514, Col. La Fama, Santa Catarina","01 (81) 83-36-89-93"
"Oficialia 03 del registro civil Santa Catarina","Av. Colosio 510, Col. Hacienda San José, Santa Catarina","01 (81) 88-01-13-05"
"Oficialia 01 del registro civil de Benito Juárez","Ayala 307, Pte. Zona Centro, Benito Juárez","01 (81) 82-33-25-64"
"Oficialia 02 del registro civil benito juarez","San Ancelmo 601, Col. Santa Mónica, segundo sector, Benito Juárez","01 (81) 82-82-86-53"
"Oficialia registro civil de García","Ayala 128-A, entre Treviño e Hidalgo, García","01 (81) 82-83-09-85"
"Oficialia del registro civil de San Pedro","Vasconcelos 1561-B, Col. Mira Sierra, San Pedro Garza García","83-38-98-67"
