"nombre","direccion","contacto"
"Oficialía 01 del registro civil Oaxaca","Armenta y López 1038, Centro, Oaxaca (CP 68000)","51-4-22-58 y 51-4-83-94 (Ext. 11)"
"Oficialía 02 del registro civil Oaxaca","Armenta y López 1038, Centro, Oaxaca (CP 68000)","51-4-83-94 y 51-4-22-58"
"Oficialía 03 del registro civil Oaxaca","Armenta y López 1038, Centro, Oaxaca (CP 68000)","51 4 22 58 / 51 4 83 94"
"Oficialía 04 del registro civil Oaxaca","Vicente guerrero 14, Col. Miguel Alemán, Oaxaca de juárez, oax. (CP 68120)","50-1-50-50 (Ext. 2400)"
"Oficialía 05 del registro civil Oaxaca","Dr. M. Pérez Ramírez (s/n), Col. Reforma, Centro, Oax. (al lado del Hospital civil)",
"Oficialía 06 del registro civil Oaxaca","Garcia Vigil 602, Col. Centro, Oaxaca","51-6-34-02 y 50-6-20-70 (Ext 116)"
"San Felipe Usila, Tuxtepec","Av. Mártires del Río Blanco 101, Col. Barrio Chico (CP 68490)","01-283-54-6-80-81 (caseta)"
"Oficialía del registro civil San Miguel Soyaltepec, Tuxtepec","Calle 3 contra esquina de Av. 4 Barrio San Miguel Soyaltepec","01-274-752-01-03"
"Oficialía del registro civil San Pedro Ixcatlán, Tuxtepec","Calle Pipila (s/n), Col. Pino Suarez, San Pedro Ixcatlán","01-287-87-130-03 (Caseta)"
"Oficialía del registro civil Santa María Jacatepec, Tuxtepec","Independencia (s/n), planta baja del Palacio Municipal","01-283-56-00-129"
"Oficialía 01 del registro civil San Juan Bautista Tuxtepec","Allende, esquina 20 de Noviembre 70, bajos del Palacio Municipal (CP 68300)","01-287-87-5-02-00"
"Oficialía del registro civil Loma Bonita","Morelos 12, entre 16 de Septiembre y Coahuila, Col. Centro (frente a Telégrafos)",
"Oficialía 01 del registro civil salina cruz","Av. Manuel Ávila Camacho No. 50, Col. Centro Palacio Federal, Tehuantepec, Salina Cruz","01 971 71 4 18 58"
"Oficialía 02 del registro civil salina cruz","Avenida M. Ávila Camacho (s/n), Col. Centro, Tehuantepec, Salina Cruz","01-971-714-26-20"
"Oficialía del registro civil San Blas Atempa, Tehuantepec","Calzada del Panteón 100, esquina V. Guerrero, San Blas Atempa","01-971-71-52191"
"Oficialía del registro civil Juchitán de Zaragoza","Avenida Hidalgo, esq. 5 de Septiembre (local 103), Col. Centro","971-71-1-10-06"
"Santa Cruz Xoxocotlan","Genaro Vasquez (s/n), Col. Centro, Santa Cruz Xoxocotlán, Valles Centrales",
"Oficialía 01 del registro civil Huajuapan de León","Galena no. 5, esquina Morelos, planta alta, Col. Centro (CP 69000), Mixteca","01-953-53-2-34-81"
"Oficialía 02 del registro civil Huajuapan de León Primera","Galena no. 5, esquina Morelos, planta alta, Col. Centro (CP 69000), Mixteca","01-953-53-2-34-81"
