"nombre","direccion","contacto"
"Oficialia 01 del registro civil de Querétaro","Madero 81, zona centro","214-16-44 y 212-55-00 (Ext. 4036 y 4035)"
"Oficialia 02 del registro civil Querétaro","Calzada de Guadalupe Victoria 102","210 10 84"
"Oficialia 03 del registro civil en Querétaro","Avenida del Río N° 1, Hércules","223 52 24"
"Oficialia 04 del registro civil de Querétaro","A. Pozo N° 1, Zona Centro","291 00 19, 291-10-87 Y 291-10-82"
"Oficialia 05 del registro civil de Querétaro","Sector Lomas de Casa Blanca, Calle 21 N° 1000","222 15 10 Y 222 09 48"
"Oficialia 06 del registro civil de Querétaro","Calzada de Guadalupe Victoria 102","218 62 76, 218 62 16 y 218 62 89"
"Oficialia 07 del registro civil de Querétaro","Sector Reforma Agraria (CCQ)","238 77 00 (Ext. 6119)"
"Oficialia 08 del registro civil de Querétaro","Avenida Tlaloc N° 101, Desarrollo San Pablo","217 39 08 y 210 11 44"
"Oficialia 09 del registro civil de Querétaro","I.S.S.S.T.E., Av. Tecnológico (sólo nacimiento y defunciones)","256 01 00 (Ext. 50359)"
"Oficialia 10 del registro civil de Querétaro","I.M.S.S., 5 de febrero y Zaragoza (sólo nacimiento y defunciones)","211 23 00"
"Oficialia 11 del registro civil de Querétaro","Vega y Monroy 1000 (sólo nacimiento y defunciones)","291 92 00 (Ext. 2035)"
"Oficialia 12 del registro civil de Querétaro","Hospital San José, Constituyentes 302, El Jacal (sólo nacimiento y defunciones)","211 00 80 (Ext. 2351)"
"Oficialia del registro civil san juan del rio","27 de Septiembre 31, Interior A Col. Centro.","(427) 272 3701, 1295116 y 220 1602"
"Oficialia del registro civil corregidora","Camino al Cerrito (S/N)","(442) 209 6000 (Ext. 6050 y 6051)"
"Oficialia del registro civil de Corregidora","F. Madero, Manzana 33 Lote 20, Esq. P. Lazcurain, Santa Bárbara","(442) 2251181 y 220 0603"
"Oficialia del registro civil de Corregidora","Domicilio Conocido s/n, Joaquín Herrera","(442) 102 4178"
"Oficialia del registro civil de Corregidora","Domicilio Conocido (S/N), Los Olivera","(442) 135 0570"
"Oficialia del registro civil de El Marques","Venustiano Carranza 2, La Cañada","(442) 238 8400"
"Oficialia del registro civil de El Marques","Delegación Municipal, Chichimequillas","(442) 246 6240"
"Oficialia del registro civil de El Marques","Delegación Municipal, Lázaro Cárdenas","(442) 221 5613"
"Oficialia del registro civil de El Marques","La Griega, El Marques Qro.","(442) 198 9105"
"Oficialia del registro civil de Cadereyta de Montes","Juárez 10, Zona Centro","(441) 276 0180"
"Oficialia del registro civil de Pedro Escobedo","Reforma N°1","(448) 275 0006"
"Oficialia del registro civil de Tequisquiapan","Palmas 5, Col. Los Sabinos","(414) 273-2327"
