"nombre","direccion","contacto"
"Registro Civil Dirección General","Bolívar No. 965, Zona Centro, C.P. 78000, San Luis Potosí, S.L.P.","01 444 812 80 50 / 812 82 02/ 812 82 34 ext.113"
"Registro Civil de Aquismon 01","M. J. Othon s/n Aquismon, S.L.P.","01 482 368 00 22 y 368 03 23 ext. 120"
"Registro Civil de Cd. Del Maíz 01","Jardin Hidalgo Sur s/n Cd. Del Maíz, S.L.P.","01 482 378 01 02"
"Registro Civil de Cd. Valles 01","Rotarios n° 530, Col. Rotarios Cd. Valles, S.L.P.","01 481 382 0117"
"Registro Civil de Cedral 01","Victoria n° 8, Cedral, S.LP.","01 488 887 02 22/20"
"Registro Civil de Cerritos 01","Jardín Hidalgo n° 8, Cerritos, S.L.P.","01 486 863 21 34"
"Registro Civil Coxcatlan 01","Plaza Principal s/n, Coxcatlan, S.L.P.","01 489 378 4040 / 378 4041"
"Registro Civil de Charcas 01","Jardin Hidalgo s/n Zona Centro Charcas, S.L.P.","01 486 852 00 05"
"Registro Civil de El Naranjo 01","Av. Jorge Pascual No. 300, Zona Centro, C.P. 79310, El Naranjo, S.L.P.","01 482 366 03 41"
"Registro Civil de Huichiuayan 02","Domicilio. Conocido, Huichiuayan, S.L.P.","01 482 36 14 283"
"Registro Civil de Matlapa 01","Plaza Constitución n° 1 Matlapa, S. L. P.","01 48 13 64 02 00"
"Registro Civil de Moctezuma 01","Jardín Hidalgo n° 1, Moctezuma, S.L.P.","01 486 854 92 33"
"Registro Civil de Río Verde 01","Plaza Constitución Letra I, C.P. 79600, Río Verde, S.L.P.","01 487 872 09 80"
"Registro Civil de Salinas de Hidalgo 01","Presidencia Municipal, Delegación Bocas, Salinas de Hidalgo, S.L.P.","01 496 963 00 91"
"Registro Civil de San Luis Potosí Of. 07","Capitán Caldera n° 292, San Luis Potosí, S.L.P.","01 444 863 6017"
"Registro Civil de San Luis Potosí Of. 11","Fray Diego de la Magdalena n° 273, Esq. Con Agustín Vera, C.P. 78250 San Luis Potosí, S.L.P.","01 444 811 64 50"
"Registro Civil de San Luis Potosí","Av. Ricardo B. Anaya n° 1823 2, San Luis Potosí, S.L.P.","01 444 816 40 67"
"Registro Civil de San Luis Potosí 01","Morelos n°. 635, Zona Centro, C.P. 78000, S. Luis Potosí, S.L.P.","01 444 812 18 64"
"Registro Civil de Soledad de Graciano Sánchez 02","Av. De los Pinos n° 267, Unidad Habitacional Fidel Velázquez, Soledad de Graciano Sánchez, S.L.P.","01 444 822 66 76"
"Registro Civil de Soledad de Graciano Sánchez 01","Negrete n° 119, Soledad de Graciano Sánchez, S.L.P.","01 444 854 59 47"
"Registro Civil de Tamasopo 01","Hidalgo s/n, C. P. 79700, Tamasopo, S.L.P.","01 482 387 01 20"
"Registro Civil de Tamazunchale","Calle Hidalgo n° 42, Altos Planta Alta Bancomer/BBV, Tamazunchale, S.L.P.","01 483 362 34 40"
"Registro Civil de Tamuin 01","C. Bravo y Guillermo Prieto, C.P. 79200, Tamuin, S.L.P.","01 489 38 814 78"
"Registro Civil de Tanlajas 01","V. Carranza s/n Zona Centro, C.P. 79810, S.L.P.","01 489 371 26 71"
"Registro Civil de Tanquian de Escobedo 01","Independencia n° 1, C.P. 79840, Tanquian de Escobedo, S. L. P.","01 489 386 00 18"
"Registro Civil de Venado","Plaza Juárez s/n, Venado, S.L.P.","01 486 854 61 10 Ext. 209"
"Registro Civil de Villa de Ramos","Plaza Principal s/n, C.P. 78690, Villa de Ramos, S. L. P.","01458 944 9090/ 01458 944 9043/9044"
"Registro Civil de Villa Hidalgo 01","Jardín Hidalgo s/n, C.P. 78960, Villa Hidalgo, S.L.P.","01 486 855 20 27"
"Registro Civil Villa de Reyes 01","Independencia No 3, Villa de Reyes, S.L.P.","01 485 861 0090"
"Registro Civil de Xilitla 01","Presidencia Municipal, C. P. 79902, Xilitla, S.L.P.","01 489 365 01 12"
