"nombre","direccion","contacto"
"Registro Civil Oficialía de Culiacán","Calzada de los Insurgentes n° 1221, Sur Edificio Torre las Americas Acceso, Col. Centro C.P. 80000, Culiacán, Sin.","01 667 758 70 00 ext. 2705"
"Municipio de Ahome","Santos Degollado esq. Cuauhtémoc s/n, Col. Centro, C.P. 81200, Los Mochis, Sin.","01 668 816-50-08"
"Municipio de Angostura","16 de septiembre s/n, Col. Centro, C.P. 81600, Angostura, Sin.","01 697 734 00 40"
"Municipio de Concordia","Benito Juárez y Javier Mina s/n, Col. Centro, C.P. 82602, Concordia, Sin.","01 694 968 03 54 / 01 694 968 03 32 / 01 694 968 00 02 ext. 108"
"Municipio de Culiacán","Álvaro Obregón y Mariano Escobedo s/n, Col. Centro, C.P. 80000, Culiacán, Sin.","01 667 758 01 01 ext. 1309"
"Municipio de Choix","Prolongación n° 41, Col. Centro, C.P. 81701, Choix, Sin.","01 698 866 01 12"
"Municipio de Elota","Antonio Toledo Corro s/n, Col. San José Conitaca, C.P.82701, Elota, Sin.","01 696 961 01 11 / 01 696 691 02 42 ext. 148"
"Municipio de Escuinapa","Gabriel Leyva n° 1, Col. Centro, C.P. 82400, Escuinapa, Sin.","01 695 953 34 89 / 01 695 953 02 92"
"Municipio de Fuerte, El","5 de Mayo e Hidalgo entre Morelos s/n, Col. Centro, C.P. 81821, El Fuerte, Sin.","01 698 893 01 45 ext. 129"
"Municipio de Guasave","Av. Adolfo López Mateos s/n, Col. Centro, C.P. 81040, Guasave, Sin.","01 687 871 87 07"
"Municipio de Mazatlán","Benito Juárez y Angel Flores s/n, Col. Centro, C.P. 82000, Mazatlán, Sin..","01 669 982 21 11 ext. 1304 / 1320"
"Municipio de Mocorito","Hidalgo y Morelos n° 32, Col. Centro, C.P. 80800, Mocorito, Sin.","01 673 735 02 92 / 01 673 735 02 75"
"Municipio de Navolato","Rosales n° 49 Norte, Col. Centro, C.P. 80370, Navolato, Sin.","01 672 727 01 39"
"Municipio de Rosario, El","Palacio Municipal s/n Interior Planta Alta, Col. Centro, C.P. 82800, El Rosario, Sin.","01 694 952 04 10 / 01 694 952 24 79 ext. 114"
"Municipio de Salvador Alvarado","Boulevard Antonio Rosales y Francisco Villa s/n Col. Centro, C.P. 81400, Guamuchil, Salvador Alvarado, Sin.","01 673 732 06 40 ext. 113"
"Municipio de Sinaloa","Hidalgo y Morelos s/n, Col. Centro, C.P. 81900, Sinaloa de Leyva, Sin.","01 667 875 03 38 / 01 687 875 00 02 / 01 687 875 03 39"
"INEGI Culiacán","Calzada de los Insurgentes n° 1221, Sur Edificio Torre las Americas Acceso, Col. Centro C.P. 80000, Culiacán, Sin.","01 667 761 46 50"
"Instituto Nacional de Migración Delegación Regional Sinaloa","Prolg. Aquiles Serdan s/n, Fracc. Playa Sur; Mazatlán, Sinaloa","01 698 13 12 11"
