"nombre","direccion","contacto"
"Dirección General del Registro Civil","Portal Hidalgo n° 5, 1er. Piso, Col. Centro, C.P. 90000, Tlaxcala, Tlax.","01 246 462 77 16, 465 09 97 y 465 09 99"
"Kiosco Apizaco","Barberan y Collar Poniente n° 306, Centro Comercial Gigante, Col. Centro, C.P. 90300, Apizaco, Tlax.","01 246 4 65 09 00 ext. 1011"
"Kiosko Calpulalpan","Guerrero n° 5, Col. Centro, C.P. 90200, Calpulalpan, Tlax.","01 246 4 65 09 02"
"Kiosko Chiautempan","Ignacio Picazo Norte n° 52, Col. Santa Ana, C.P 90800, Chiautempan, Tlax.","01 246 4 65 09 02"
"Kiosko Cuapiaxtla","Hidalgo n° 1, Col. Centro, C.P.90560, Cuapiaxtla, Tlax.","01 246 4 65 09 02"
"Kiosco El Portal","Portal Hidalgo n° 5, Planta Baja, Col. Centro, C.P. 90000, Tlaxcala, Tlax.","01 246 462 77 16, 465 09 97 y 465 09 99"
"Kiosko Huamantla","Juárez Sur n° 102, Centro Comercial 12 puertas, local 22, Col. Centro, C.P. 90500, Huamantla, Tlax.","01 246 4 65 09 02"
"Kiosko San Pablo del Monte","Pablo Sidar Note n° 3, Col. Centro, C.P. 90970, San Pablo del Monte, Tlax.","01 246 4 65 09 02"
"Kiosco Tlaxcala","Centro Comercial Soriana, Local 12, Col. Vista Hermosa Ocotlán, C.P. 90100, Tlaxcala, Tlax.","01 0246 04 65 09 00 ext 1010"
"Kiosko Tlaxco","Portal Hidalgo n° 4, Col. Centro, C.P. 90250, Tlaxco Tlax.","04 246 4 65 09 02"
"Kiosko Zacatelco","Lerdo de Tejada n° 21, Col. Centro, C.P. 97040, Zacatelco, Tlax.","01 246 4 65 09 02"
"SEDESOL, Modalidad Identidad Jurídica en el Estado","Guridi y Alcocer s/n, Col. Centro, C.P. 90000, Tlaxcala, Tlax.","01 246 462 00 49 Ext. 3636"
"INEGI Tlaxcala","Av. Revolución n° 30, Col. Atempan, Tlaxcala, Tlax.","01 246 462 19 19"
"Instituto Nacional de Migración Delegación Regional Tlaxcala","Santos Degollado n° 62, Col. Centro, Tlaxcala, Tlaxcala.","01 246 464 08 27"
