"nombre","direccion","contacto"
"Registro Civil de Mérida","Calle 65 n° 520, Col. Centro, C.P. 97000, Mérida, Yucatán","01 928 62 73, 019 99"
"Registro Civil de Acanceh","Planta Alta Palacio Municipal, Col. Centro lPAL, C.P. 97380, Acanceh, Yucatán","01 988 912 81 38"
"Registro Civil de Hunucma","Calle 31 s/n x 28 y 30, Col. Centro, C.P. 97350, Hunucma, Yucatán","01 988 931 03 01"
"Registro Civil de Maní","Calle 25 s/n x 26 y 28, Col. Centro, C.P. 97850, Maní, Yucatán","01 997 978 40 01"
"Registro Civil de Maxcanu","Palacio Municipal, Col. Centro, C.P. 97352, Maxcanu, Yucatán","01 997 971 21 50"
"Registro Civil de Muna","Calle 25 s/n x 24 y 26, Col. Centro, C.P. 97840, Mod. Real 1 Muna, Yucatán","01 997 971 05 88"
"Registro Civil de Oxkutzcab","Calle 53 s/n x 48 y 50, Col. Centro, C.P. 97880, Oxkutzcab, Yucatán","01 997 975 00 29"
"Registro Civil de Panaba","Calle 21 s/n x 12 y 16, Col. Centro, C.P. 97610, Panaba, Yucatán","01 988 864 00 94"
"Registro Civil de Peto","Calle 32 s/n x 31 y 33, Col. Centro, C.P. 97930, Peto, Yucatán",81701310580001
"Registro Civil de Rio Lagartos","Calle 21 s/n 12 y 16, Col. Centro, C.P. 97720, Lagartos, Yucatán","01 986 862 00 02"
"Registro Civil de San Felipe","Calle 10 s/n x 9 y 11, Col. Centro, C.P. 97616, San Felipe, Yucatán","01 985 858 54 05"
"Registro Civil de Tekom","Calle 11 s/n x 8, Col, Centro, C.P. 97768, Modreal Tekom, Yucatán","01 985 858 54 05"
"Registro Civil de Temozon","Calle 10 s/n x 10ª y 11, Col. Centro, C.P. 97740, Temozon, Yucatán","01 985 855 00 58"
"Registro Civil de Ticul","Calle 19 n° 257D X 38 y 40, Col. San Enrique, C.P. 97860, Ticul, Yucatán","01 985 855 00 59"
"Registro Civil de Tixkokob","Calle 20 x 23 y 25, Col. Centro, C.P. 97785, Tixkokob, Yucatán","01 985 858 25 06"
"Registro Civil de Tizimín","Calle 51 s/n x 50 y 52, Col. Centro, C.P. 97781, Tizimín, Yucatán","01 985 858 25 05"
"Registro Civil de Tzucacab","Calle 30 s/n x 33 Col. Centro, C.P. 97960, Tzucacab, Yucatán","01 997 974 40 09"
"Registro Civil de Valladolid","Carret. Valladolid Tizimín tabla KM 3.5, Col. Tabla, C.P. 97780, Valladolid, Yucatán","01 985 858 15 05"
"Secretaria de Educación de Yucatán","Zanna s/n, Col. Fracc. Yucalpeten, C.P. 97248, Yucatán","945 50 92"
"SEDESOL, Modalidad Identidad Jurídica del Estado","Calle 33 n° 161 Depto. 1 Plaza Buenavista, Col. Buenavista, C.P. 97120, Mérida, Yucatán","01 999 575 32 63"
"INEGI Mérida","Calle 60 n° 378 X 39 y 41, Col. Centro, C.P. 97000, Mérida, Yucatán","01 999 9-42-17-40 Ext 8748"
