"nombre","direccion","contacto"
"Registro Civil de Zacatecas","Constitución n° 238, Col. Lomas de la Soledad, C.P. 98000, Zacatecas, Zacatecas","01 492 925 37 85 14 492 922 56 20"
"Registro Civil de Apozol","Plaza de la Constitución n° 1, Col. Centro, C.P. 99940, Apozol, Zacatecas","01 467 952 04 36"
"Registro Civil de Atolinga","Jardín Principal s/n Col. Centro, C.P. 99730, Atolinga, Zacatecas","01 437 954 14 00 y 01954 15 80"
"Registro Civil de Calera de Víctor Rosales","Tránsito n° 103 Sur, C.P. 98500, Calera, Zacatecas","01 478 985 03 30"
"Registro Civil de Cañitas de Felipe Pescador","Sur 3 n° 12 Col. Barrio Viejo, C.P. 98480, Cañitas, Zacatecas","01 458 937 00 83"
"Registro Civil de Concepción del Oro","Allende n° 21 Col. Centro, C.P. 98480, Concepción del Oro, Zacatecas","01 842 424 00 17"
"Registro Civil de Cuauhtémoc","Plaza Principal s/n Col. Centro, C.P. 98680, Cuauhtémoc, Zacatecas","01 458 941 00 30 y 01 458 941 00 31 ext. 110"
"Registro Civil de Chalchihuites","Iturbide n° 200, Col. Chalchihuites, C.P. 99260, Chalchihuites, Zacatecas","01 457 938 03 04"
"Registro Civil de Fresnillo","Juan de Tolosa n° 100 Col. Centro, C.P. 99000, Fresnillo, Zacatecas","01 493 932 09 69"
"Registro Civil de Fresnillo Oficialía 05","Jerez n° 32 Col. Centro, C.P. 99000, Fresnillo, Zacatecas","01 493 878 42 09"
"Registro Civil de Genaro Codina","Plaza de Castro n° 222, Col. Centro, C.P. 98660, Genaro Codina, Zacatecas","01 458 948 30 55"
"Registro Civil de General Enrique Estrada","Jardín Principal s/n, Col. Centro, C.P. 98350, General Enrique Estrada, Zacatecas","01 478 985 15 63"
"Registro Civil de General Francisco R. Murguía","Reforma n° 1, Col. Centro, C.P. 98350, General Francisco R. Murguía, Zacatecas","01 498 935 50 10 y 01 498 935 52 42"
"Registro Civil de General Pánfilo Natera","Alfonso Medina n° 4, Col. Centro, C.P. 98730, General Pánfilo Natera, Zacatecas","01 458 931 60 41 ext. 112"
"Registro Civil de Guadalupe","H. Colegio Militar n° 96 Oriente, Col. Centro, C.P. 98600, Guadalupe, Zacatecas","01 492 923 54 92 ext. 124"
"Registro Civil de Huanusco","Plaza Principal n° 8, Col. Centro, C.P. 99670, Huanusco, Zacatecas","01 463 957 06 08"
"Registro Civil de Jalpa","Plaza Principal n° 115, Col. Centro, C.P. 99601, Jalpa, Zacatecas","01 463 955 20 03 ext. 107"
"Registro Civil de Jerez","Plaza Principal n° 11, Col. Centro, C.P. 99300, Jerez, Zacatecas","01 494 945 22 53 ext. 111"
"Registro Civil de Jiménez del Téul","Morelo0s n° 22, Col. Centro, C.P. 99280, Jiménez del Téul, Zacatecas","01 457 988 30 45"
"Registro Civil de Juan Aldama","Av. Centenario n° 5, Col. Centro, C.P. 98300, Juan Aldama, Zacatecas","01 498 983 01 50 y 01 498 983 02 41"
"Registro Civil de Loreto","Independencia s/n, Col. Centro, C.P. 98800, Loreto, Zacatecas","01 496 962 01 19 ext. 107"
